GRAPH;CAT;ORTH;FREQ
au prix de;PREP;;
au ras de;PREP;;
au rebours de;PREP;;
au regard de;PREP;;
au risque de;PREP;;
au sein d’;PREP;;
au sein de;PREP;;
au sein du;PREP;;
au sortir de;PREP;;
au spectacle de;PREP;;
au sujet de;PREP;;
au temps de;PREP;;
au travers de;PREP;;
au vu de;PREP;;
au vu et au su de;PREP;;
au vu et su de;PREP;;
au-dedans de;PREP;;
au-dessous de;PREP;;
aujourd'hui;ADV;;
auprès de;PREP;;
auquel cas;CONJcoord;;
aussi peu que;PREP;;
autour de;PREP;;
autre chose;SUB;;
autre part;ADV;;
aux aguets;ADV;;
aux dépens de;PREP;;
aux fins de;PREP;;
aux lieu et place de;PREP;;
aux portes de;PREP;;
avant de;PREP;;
avant même que;CONJsubord;;
avant que;CONJsubord;;
avant que de;PREP;;
avocat général;SUB;;
avoir l'air;VERB;;
avoir lieu;VERB;;
ayants droit;SUB;;
back up;SUB;;
bain de mer;SUB;;
bains de mer;SUB;;
bande à part;SUB;;
bas de page;SUB;;
bas ventre;SUB;bas-ventre;
bas-ventre;SUB;;
beat generation;SUB;;
beau fils;SUB;beau-fils;
beau frère;SUB;beau-frère;
beau père;SUB;beau-père;
beau temps;SUB;;
beaucoup de;DETindef;;
beaux esprits;SUB;bel esprit;
bec de gaz;SUB;;
becs de gaz;SUB;;
bel canto;SUB;;
bel esprit;SUB;;
belle fille;SUB;belle-fille;
belle lurette;SUB;;
belle mère;SUB;belle-mère;
belle sœur;SUB;belle-sœur;
best of;SUB;;
bien entendu;ADV;;
bien loin de;PREP;;
bien que;CONJsubord;;
bien sûr;ADV;;
big band;SUB;;
big bang;SUB;;
birth control;SUB;;
bla bla;SUB;;
bloody mary;SUB;;
blouson de cuir;SUB;;
blue jeans;SUB;;
blue note;SUB;;
boîte aux lettres;SUB;;
bon cœur;SUB;;
bon Dieu;EXCL;;
bon goût;SUB;;
bon gré;SUB;;
bon gré mal gré;ADV;;
bon marché;ADJ;;
bon point;SUB;;
bon sens;SUB;;
bon vieux temps;SUB;;
bonne conscience;SUB;;
bonne femme;SUB;
bonne foi;SUB;;
bonne fortune;SUB;;
bonne humeur;SUB;;
bonne manière;SUB;;
boone part;SUB;;
bonne volonté;SUB;;
bonnes gens;SUB;;
bordel de merde;EXCL;;
bouche bée;SUB;;
bouton d’or;SUB;;
bras dessus bras dessous;ADV;;
brown sugar;SUB;;
bubble gum;SUB;;
buen retiro;SUB;;
by night;ADJ;;
c'est-à-dire;ADV;;
cabinet de toilette;SUB;;
café au lait;SUB;;
cage d’escalier;SUB;;
call girl;SUB;;
call girls;SUB;;
canadian river;SUB;;
caput mortuum;SUB;;
cas particulier;SUB;;
casus belli;SUB;;
ce dernier;PROindef;;
cela supposé;PREP;;
celle ci;PROdem;celle-ci;
celle là;PROdem;celle-là;
celle-ci;PROdem;;
celle-là;PROdem;;
celui ci;PROdem;celui-ci;
celui là;PROdem;celui-là;
celui-ci;PROdem;;
celui-là;PROdem;;
cependant que;CONJsubord;;
ces derniers;PROindef;;
cette dernière;PROindef;;
cette fois ci;ADV;;
cette fois là;ADV;;
cette fois où;CONJbord;;
cette fois-ci;ADV;;
cette fois-là;ADV;;
ceux ci;PROdem;ceux-ci;
ceux là;PROdem;ceux-là;
chambre à coucher;SUB;;
Chambre des députés;SUB;;
champ de bataille;SUB;;
chapeau haut de forme;SUB;;
chaque fois;ADV;;
chaque fois que;CONJsubord;;
check up;SUB;;
chef d'entreprise;SUB;;
chef d'oeuvre;SUB;chef-d'œuvre;
chef d'œuvre;SUB;chef-d'œuvre;
chef-d'oeuvre;SUB;chef-d'œuvre;
chef-d'œuvre;SUB;;
chefs d'oeuvre;SUB;;
chefs d'œuvre;SUB;;
chefs-d'oeuvre;SUB;;
chefs-d'œuvre;SUB;;
chemin de fer;SUB;;
chemin de fer d'intérêt local;SUB;;
chemins de fer;SUB;;
chemise de nuit;SUB;;
chewing gum;SUB;;
chien de fusil;SUB;;
chop suey;SUB;;
chute libre;SUB;;
citizen band;SUB;;
clair de lune;SUB;;
clin d'œil;SUB;;
coffee shop;SUB;;
coin de l’oeil;SUB;;
coin de l’œil;SUB;;
comic book;SUB;;
comic books;SUB;;
commedia dell'arte;SUB;;
compte tenu de;PREP;;
conférence de presse;SUB;;
conformément à;PREP;;
connaissance de cause;SUB;;
conseil d'administration;SUB;;
conseil d'Etat;SUB;Conseil d'État;
conseil d'etat;SUB;Conseil d'État;
conseil d'état;SUB;Conseil d'État;
conseil général;SUB;;
conseiller général;SUB;;
conséquemment à;PREP;;
corn flakes;SUB;;
corps de garde;SUB;;
côte à côte;ADV;;
coup d'épée;SUB;;
coup d'oeil;SUB;;
coup d'œil;SUB;;
coup de balai;SUB;;
coup de bâton;SUB;;
coup de feu;SUB;;
coup de fil;SUB;;
coup de fusil;SUB;;
coup de main;SUB;;
coup de pied;SUB;;
coup de pistolet;SUB;;
coup de poing;SUB;;
coup de vent;SUB;;
coup sur coup;ADV;;
coups d'épée;SUB;;
coups d'oeil;SUB;;
coups d'œil;SUB;;
coups de balai;SUB;coup de balai;
coups de bâton;SUB;coup de bâton;
coups de feu;SUB;;
coups de fusil;SUB;coup de fusil;
coups de main;SUB;;
coups de pied;SUB;;
coups de pistolet;SUB;;
coups de poings;SUB;;
coups de vent;SUB;;
coups et blessures;SUB;;
coups et blessures aggravés;SUB;;
cour d'assises;SUB;;
courrier électronique;SUB;;
crainte de;PREP;;
cri de joie;SUB;;
critique d'art;SUB;;
culture générale;SUB
curriculum vitae;SUB;;
d'abord;ADV;;
d'accord;ADV;;
d'ailleurs;ADV;;
d'autant que;CONJcoord;;
d'autre part;ADV;;
d'autres;PROindef;;
d'emblée;ADV;;
d'ordre général;ADJ;;
d'ores et déjà;ADV;;
d'un autre côté;PREP;;
d'un seul coup;ADV;;
d'une part;ADV;;
d’après;PREP;;
d’au milieu de;PREP;;
d’avec;PREP;;
d’entre;PREP;;
d’ici;PREP;;
dame patronnesse;SUB;;
dames patronnesses;SUB;;
dans l’optique de;PREP;;
dans la crainte de;PREP;;
dans la merde;ADJ;;
dans le moment où;PREP;;
dans le moment que;PREP;;
dans le viseur de;PREP;;
dans l’état actuel;ADV
dare dare;ADV;;
de amicis;SUB;;
de auditu;ADV;;
de bon cœur;ADV;;
de bonne heure;ADVtemp;;
de crainte de;PREP;;
de façon à;PREP;;
de facto;ADV;;
de guingois;ADV;;
de haut en bas;ADV;;
de la part d’;PREP;;
de la part de;PREP;;
de la part du;PREP;;
de long en large;ADV;;
de manière à;PREP;;
de même;ADV;;
de même que;CONJcoord;;
demi siècle;SUB
de mon côté;PREP;;
de niveau avec;PREP;;
de par;PREP;;
de parmi;PREP;;
de peur de;PREP;;
de plano;ADV;;
de plein gré;ADV;;
de plus;ADV;;
de préférence à;PREP;;
de profundis;SUB;;
de santis;SUB;;
de sorte que;CONJsubord;;
de temps en temps;ADVtemp;;
de traviole;ADV;;
de visu;ADV;;
défense de;PREP;;
défini sur;PREP;;
delirium tremens;SUB;;
demander pardon;VERB;;
dernier soupir;SUB;;
des fois que;CONJsubord;;
dès lors;ADVtemp;;
dès lors que;CONJsubord;;
dès que;CONJsubord;;
deus ex machina;SUB;;
deux fois;ADV;;
deux fois par an;ADV;;
deux fois par mois;ADV;;
deux fois par semaine;ADV;;
devant notaire;PREP;;
devoir dire;VERB;;
dies irae;SUB;;
Dieu sait;PREP;;
dîner en ville;SUB;;
directeur général;SUB;;
direction générale;SUB;;
disque dur;SUB;;
donner l'ordre;VERB;;
donner l’impression;VERB;;
donner la main;VERB;;
drelin drelin;EXCL;;
droit d’ainesse;SUB;;
du côté de;PREP;;
du fond du cœur;ADV;;
du haut en bas;ADV;;
du milieu de;PREP;;
du reste;ADV;;
du tac au tac;ADV;;
du temps que;PREP;;
du vivant de;PREP;;
eau minérale;SUB;;
ecce homo;ADV;;
éclat de rire;SUB;;
éclater de rire;VERB;;
éclats de rire;SUB;éclat de rire;
École polytechnique;SUB;École Polytechnique;
École Polytechnique;SUB;;
empreinte digitale;SUB;;
empreintes digitales;SUB;empreinte digitale;
en amont d’;PREP;;
en amont de;PREP;;
en amont des;PREP;;
en amont du;PREP;;
en arrière de;PREP;;
en aval d’;PREP;;
en aval de;PREP;;
en aval des;PREP;;
en aval du;PREP;;
en avant de;PREP;;
en bas;ADV;;
en bonne voie;ADV;
en catimini;ADV;;
en ce qui concerne;PREP;;
en compagnie de;PREP;;
en comparaison de;PREP;;
en conformité de;PREP;;
en connaissance de cause;ADV;;
en conséquence de;PREP;;
en considération de;PREP;;
en deçà de;PREP;;
en dépit de;PREP;;
en dessous;PREP;;
en effet;ADV;;
en exécution de;PREP;;
en face de;PREP;;
en fait de;PREP;;
en fin de compte;ADV;;
en fonction de;PREP;;
en forme de;PREP;;
en général;ADV;;
en grande partie;ADV;;
en haut;ADV;;
en lieu et place de;PREP;;
en loucedé;ADV;;
en matière de;PREP;;
en même temps que;PREP;;
en mémoire de;PREP;;
en outre;ADV;;
en partant;PREP;;
en passant;PREP;;
en passe de;PREP;;
en plein jour;ADV;;
en pleine connaissance de cause;ADV;;
en présence de;PREP;;
en quelque sorte;ADV;;
en raison de;PREP;;
en regard de;PREP;;
en sorte que;CONJsubord;;
en sus;ADV;;
en sus de;PREP;;
en tapinois;ADV;;
en termes de;PREP;;
en tous cas;ADV;;
en train de;PREP;;
en vertu de;PREP;;
en vue de;PREP;;
encore une fois;ADV;;
enfant de choeur;SUB;enfant de chœur;
enfant de chœur;SUB;;
enfants de choeur;SUB;enfants de chœur;
enfants de chœur;SUB;;
entenant de;PREP;;
entendre parler;VERB;;
entrer en ligne de compte;VERB;;
est-ce qu;ADV;;
est-ce qu';ADV;;
est-ce que;ADV;;
et caetera;ADVquant;etc.;
et cætera;ADVquant;;
et cetera;ADVquant;etc.;
et seq;ADV;;
étant donné;PREP;;
état civil;SUB;;
état d’âme;SUB
état d’esprit;SUB
état d’exception;SUB
état de choses;SUB
état de fait;SUB
état de grâce;SUB
état de nature;SUB
état de siège;SUB
eu égard à;PREP;;
ex abrupto;ADV;;
ex nihilo;ADV;;
face à;PREP;;
face à face;SUB;;
faire partie;VERB;;
fast food;SUB;;
faute de;PREP;;
fauteuil roulant;SUB;;
faux monnayeurs;SUB;;
femme de chambre;SUB;;
femmes de chambre;SUB;femme de chambre;
five o'clock;SUB;;
flatus vocis;SUB;;
foi de;PREP;;
fond de l’âme;SUB;;
foreign office;SUB;;
fort bien;ADV;;
free jazz;SUB;;
fur et à mesure;SUB;;
garde champêtre;SUB;;
garde du corps;SUB;;
garde du roi;SUB;;
garde national;SUB;;
garde nationale;SUB;;
gardes du corps;SUB;garde du corps;
gardes du roi;SUB;garde du roi;
gardes nationaux;SUB;;
gare centrale;SUB;;
général en chef;SUB;;
gengis khan;SUB;;
gens du monde;SUB;;
girl friend;SUB;;
goutte à goutte;ADV;;
grâce à;PREP;;
grâces à;PREP;;
grain de beauté;SUB;;
grand chose;SUB;grand-chose;
grand dieu;SUB;;
grand mère;SUB;grand-mère;
grand oncle;SUB;grand-oncle;
grand père;SUB;grand-père;
grand seigneur;SUB;;
grand'chose;SUB;grand-chose;
grand'mère;SUB;grand-mère;
grand'père;SUB;grand-père;
grand'tante;SUB;;
grande partie;SUB;;
grands dieux;SUB;;
grands seigneurs;SUB;grand seigneur;
gratis pro deo;ADV;;
grève générale;SUB;;
grosso modo;ADV;;
guerre civile;SUB;
guerre mondiale;SUB;
guerres mondiales;SUB;guerre mondiale
happy end;SUB;;
happy ends;SUB;;
happy few;SUB;;
hard edge;SUB;;
has been;SUB;;
haut de forme;SUB;haut-de-forme;
haut fait;SUB;;
haut rang;SUB;;
haut-de-forme;SUB;;
haute vertu;SUB;;
hauts faits;SUB;haut fait;
hay hay;EXCL;;
hi hi;EXCL;;
hi hi hi;EXCL;;
hi hi hi hi;EXCL;;
hic et nunc;ADV;;
high life;SUB;;
high tech;ADJ;;
hold up;SUB;;
homme d’état;SUB;
homo erectus;SUB;;
homo habilis;SUB;;
hong kong;SUB;;
honnêtes gens;SUB;;
honoris causa;ADV;;
hors de;PREP;;
hot dog;SUB;;
hot dogs;SUB;;
hôtel de police;SUB;;
hôtel de ville;SUB;;
house music;SUB;;
I e;DETnum;;
i e;DETnum;;
I er;DETnum;;
i er;DETnum;;
ice cream;SUB;;
II e;DETnum;;
ii e;DETnum;;
II nd;DETnum;;
ii nd;DETnum;;
III e;DETnum;;
iii e;DETnum;;
il était une fois;ADV;;
il être possible que;PREP;;
il n’empêche que;PREP;;
il n’en reste pas moins que;PREP;;
il pourrait bien se faire que;PREP;;
il se pourrait que;PREP;;
il serait possible que;PREP;;
il y avoir;PREP;il y a;
il y avoir avoir;PREP;il y a;
in absentia;ADV;;
in abstracto;ADV;;
in anima vili;ADV;;
in cauda venenum;ADV;;
in extenso;ADV;;
in extremis;ADV;;
in illo tempore;PREP;;
in memoriam;ADV;;
in pace;SUB;;
in petto;ADV;;
in utero;ADV;;
in utero;ADJ;;
in vino veritas;ADV;;
in vitro;ADV;;
in vitro;ADJ;;
in vivo;ADV;;
inspecteur de police;SUB;;
intérêt général;SUB;;
intra muros;ADV;;
invisible piston;SUB;;
ipso facto;ADV;;
irish coffee;SUB;;
ite missa est;SUB;;
IV e;DETnum;;
iv e;DETnum;;
IX e;DETnum;;
ix e;DETnum;;
jet society;SUB;;
jeune fille;SUB;;
jeune homme;SUB;;
jeunes filles;SUB;;
jeunes gens;SUB;;
jeunes hommes;SUB;;
jouer le rôle;VERB;;
jouer un rôle;VERB;;
jour après jour;ADV;;
jour de l'an;SUB;;
juge d’instruction;SUB;;
juge de paix;SUB;;
jusqu'à ce que;CONJsubord;;
jusqu'à la fin;PREP;;
jusqu'à nouvel ordre;ADV
jusqu’au bout;ADV;;
jusqu’ici;ADV;;
jusques à;PREP;;
jusques et y compris;PREP;;
juste ciel;SUB;;
juste ciel;EXCL;;
Juste ciel;EXCL;;
kung fu;SUB;;
kyrie eleison;SUB;;
l'un;PROindef;;
l'une;PROindef;;
l’autre;PROindef;;
la cinquième;DETnum;;
la dernière;PROindef;;
la deuxième;DETnum;;
la dixième;DETnum;;
la douzième;DETnum;;
la fois où;CONJsubord;;
la huitième;DETnum;;
la mienne;PROposs;;
la neuvième;DETnum;;
la onzième;DETnum;;
la plata;SUB;;
la plupart;PROindef;;
la plupart de;DETindef;;
la plupart des;DETindef;;
la plupart du;DETindef;;
la première;DETnum;;
la première fois;ADV;;
la quatrième;DETnum;;
la seconde;DETnum;;
la septième;DETnum;;
la sienne;PROposs;;
la sixième;DETnum;;
la tienne;PROposs;;
la treizième;DETnum;;
la troisième;DETnum;;
la vingtième;DETnum;;
lacryma christi;SUB;;
laisser passer;VERB;;
laisser tomber;VERB;;
le bon Dieu;NAMEgod;;
le cinquième;DETnum;;
le dernier;PROindef;;
le deuxième;DETnum;;
le diable soit de;PREP;;
le dixième;DETnum;;
le douzième;DETnum;;
le huitième;DETnum;;
le long de;PREP;;
le long des;PREP;;
le long du;PREP;;
le mien;PROposs;;
le moment venu;ADV;;
le neuvième;DETnum;;
le nôtre;PROposs;;
le onzième;DETnum;;
le premier;DETnum;;
le quatrième;DETnum;;
le second;DETnum;;
le second;DETnum;;
le septième;DETnum;;
le sien;PROposs;;
le sixième;DETnum;;
le tien;PROposs;;
le treizième;DETnum;;
le troisième;DETnum;;
le vingtième;DETnum;;
le vôtre;PROposs;;
légion d'honneur;SUB;;
les deux;DETnum;;
les deuxièmes;DETnum;;
les fois où;CONJsubord;;
les fois que;CONJsubord;;
les miennes;PROposs;;
les miens;PROposs;;
les nôtres;PROposs;;
les premières;DETnum;;
les premiers;DETnum;;
les secondes;DETnum;;
les seconds;DETnum;;
les siennes;PROposs;;
les siens;PROposs;;
les tiennes;PROposs;;
les tiens;PROposs;;
les trois;DETnum;;
les vôtres;PROposs;;
lieutenant de police;SUB;;
ligne de compte;SUB;;
lieu commun;SUB;
lit de sangle;SUB;;
livre sterling;SUB;;
livres de rente;SUB;;
livres sterling;SUB;livre sterling;
loc. cit.;SUB;;
loin de;PREP;;
lors de;PREP;;
lutte des classes;SUB;;
machine à vapeur;SUB;;
made in;ADV;;
madre de dios;SUB;;
maison d'édition;SUB;;
maison d’arrêt;SUB;;
maison de campagne;SUB;;
maison de passe;SUB;;
maisons de passe;SUB;;
maître d'école;SUB;;
maître d'hôtel;SUB;;
maître de maison;SUB;;
maître de poste;SUB;;
maître des requêtes;SUB;;
maître queux;SUB;;
maîtresse de maison;SUB;;
mal à l’aise;ADJ;;
malade mental;SUB;;
maladie mentale;SUB;;
malgré tout;ADV;;
manque de;PREP;;
manu militari;ADV;;
marchand de vin;SUB;;
marchands de vin;SUB;;
maréchal des logis;SUB;;
mass media;SUB;;
mater dolorosa;SUB;;
mauvais goût;SUB;;
mauvais sort;SUB;;
mauvaise conscience;SUB;;
mauvaise foi;SUB;;
mauvaise grâce;SUB;;
mauvaise humeur;SUB;;
maux de tête;SUB;;
mea culpa;SUB;;
melting pot;SUB;;
même quand;CONJsubors;;
même si;CONJsubord;;
mètres carrés;SUB;;
mettre en examen;VERB;;
mettre en peine;VERB;;
mettre la table;VERB;;
mezza voce;ADV;;
middle class;SUB;;
milk shake;SUB;;
ministère de l'Intérieur;SUB;;
ministère de l'intérieur;SUB;ministère de l'Intérieur;
ministère des finances;SUB;ministère des Finances;
ministère des Finances;SUB;;
ministère public;SUB;;
ministre de l'Intérieur;SUB;;
ministre de l'intérieur;SUB;ministre de l'Intérieur;
ministre de la guerre;SUB;;
ministre de la justice;SUB;;
ministre des affaires étrangères;SUB;Ministre des Affaires étrangères;
ministre des Affaires étrangères;SUB;Ministre des Affaires étrangères;
Ministre des Affaires étrangères;SUB;;
ministre des finances;SUB;ministre des Finances;
ministre des Finances;SUB;;
minus habens;SUB;;
mise en cause;SUB;;
mise en oeuvre;SUB;mise en œuvre;
mise en œuvre;SUB;;
mise en ordre;SUB;;
mise en place;SUB;;
mise en question;SUB;;
modern style;SUB;;
modern style;ADJ;;
modus operandi;SUB;;
modus vivendi;SUB;;
mon Dieu;EXCL;;
mort à;PREP;;
mot d’ordre;SUB;;
motu proprio;ADV;;
Moyen Age;SUB;;
moyen age;SUB;moyen-âge;
Moyen Âge;SUB;;
moyen âge;SUB;moyen-âge;
moyen-âge;SUB;;
music hall;SUB;;
mutatis mutandis;ADV;;
n'est ce pas;ADV;n'est-ce pas;
n'est-ce pas;ADV;;
n'importe qui;PROindef;;
n'importe quoi;PROindef;;
n’empêche que;PREP;;
ne varietur;ADV;;
negro spiritual;SUB;;
negro spirituals;SUB;;
nerf de bœuf;SUB;;
new wave;SUB;;
night club;SUB;;
nihil obstat;ADV;;
niveau de vie;SUB
no man's land;SUB;;
no man's land;SUB;;
non content de;PREP;;
non plus que;PREP;;
non sans;PREP;;
non troppo;ADV;;
nota bene;ADV;;
nulle part;ADV;;
numéro de immatriculation;SUB;;
numéro de téléphone;SUB;;
numerus clausus;SUB;;
oeuvre d'art;SUB;;
œuvre d'art;SUB;;
œuvre d'art;SUB;;
œuvres d'art;SUB;;
off the record;ADV;;
officier de la légion d'honneur;SUB;;
Oh ! ciel;EXCL;;
olla podrida;SUB;;
op. cit.;SUB;;
ordinateur de poche;SUB;;
ordinateur portable;SUB;;
osso buco;SUB;;
ou bien;CONJcoord;;
ouvr. cit.;SUB;;
pan bagnat;SUB;;
par ailleurs;ADV;;
par certains côtés;PREP;;
par comparaison à;PREP;;
par crainte de;PREP;;
par devers;PREP;;
par écrit;ADV;;
par l’intermédiaire de;PREP;;
par manque de;PREP;;
par mégarde;ADV;;
par opposition à;PREP;;
par préférence à;PREP;;
par rapport à;PREP;;
par suite de;PREP;;
par-devant notaire;PREP;;
parce qu;CONJsubord;;
parce qu';CONJsubord;;
parce que;CONJsubord;;
parole d'honneur;SUB;;
part time;SUB;;
parti pris;SUB;
pas plus que;PREP;;
pas plus tard que;PREP;;
paso doble;SUB;;
pater familias;SUB;;
pater noster;SUB;;
pauvre diable;SUB;;
pax americana;SUB;;
pendant que;CONJsubord;;
persona grata;ADJ;;
persona non grata;SUB;;
peu à peu;ADV;;
peu de;DETindef;;
peu de chose;SUB;;
peu ou prou;ADV;;
photo d'identité;SUB;;
pied de grue;SUB;;
pied de lit;SUB;;
pieds de haut;SUB;;
pieds de lit;SUB;;
pit bull;SUB;;
plaque d'immatriculation;SUB;;
play back;SUB;;
plein air;SUB;;
plutôt deux fois que une;ADV;;
poignée de main;SUB;;
poignées de main;SUB;;
point de vue;SUB;;
pom-pom girl;SUB;;
pom-pom girls;SUB;;
pomme de terre;SUB;;
pommes de terre;SUB;;
pompes funèbres;SUB;;
pon point;SUB;;
porte cochère;SUB;;
porte d’entrée;SUB;;
porte de derrière;SUB;;
post it;SUB;;
post mortem;ADV;;
pour autant que;PREP;;
pour ce qui est de;PREP;;
pour cette fois;ADV;;
pour des prunes;PREP;;
pour ma part;PREP;;
pour que;CONJsubord;;
pour tout;PREP;;
pour un peu;PREP;;
pour une bonne part;ADV;;
pour une fois;ADV;;
pour une fois que;CONJsubord;;
premier âge;SUB;;
premier consul;SUB;;
premier ministre;SUB;Premier ministre;
Premier ministre;SUB;;
prendre au sérieux;VERB;;
prendre contact;VERB;;
prendre conscience;VERB;;
prendre du plaisir;VERB;;
prendre en charge;VERB;;
prendre en exemple;VERB;;
prendre en compte;VERB;;
prendre exemple;VERB;;
prendre garde;VERB;;
prendre l’air;VERB;;
prendre la peine;VERB;;
prendre le soin de;VERB;;
prendre part;VERB;;
prendre parti;VERB;;
prendre place;VERB;;
prendre ses jambes à son cou;VERB;;
prendre soin;VERB;;
près de;PREP;;
presse écrite;SUB;;
prêt à;PREP;;
prime time;SUB;;
proche de;PREP;;
procureur du roi;SUB;;
public schools;SUB;;
punching ball;SUB;;
qu'est-ce que;PROinter;;
quand et quand;PREP;;
quand même;ADV;;
quant à;PREP;;
quant aux;PREP;;
quart d'heure;SUB;;
quartier général;SUB;;
que le diable l'emporte;EXCL;;
quel que soit;PREP;;
quelque chose;PROindef;;
quelque part;ADV;;
qui aime bien châtie bien;SUB;;
qui plus est;ADV;;
qui que;CONJsubord;;
quoi qu’il en fût;PREP;;
quoi que;CONJsubord;;
raison d'état;SUB;;
raisons d'état;SUB;raison d'état;
rapport sexuel;SUB;;
rapports sexuels;SUB;;
recto tono;ADV;;
red river;SUB;;
rédacteur en chef;SUB;;
rédactrice en chef;SUB;rédacteur en chef;
reine mère;SUB;;
relation sexuelle;SUB;;
