GRAPH,CAT,ORTH,LEM
au sein d’,PREP,,
au sein de,PREP,,
au sein du,PREP,,
au sens étroit,ADV,,
au sens figuré,ADV,,
au sens large,ADV,,
au sens propre,ADV,,
au sortir de,PREP,,
au spectacle de,PREP,,
au sujet de,PREP,,
au temps de,PREP,,
au travers de,PREP,,
au vu de,PREP,,
au vu et au su de,PREP,,
au vu et su de,PREP,,
aux aguets,ADV,,
aux dépens de,PREP,,
aux fins de,PREP,,
aux lieu et place de,PREP,,
aux portes de,PREP,,
aux yeux de,PREP,,
académie des sciences,SUB,Académie des Sciences,
Académie des Sciences,SUB,,
académie des sciences morales,SUB,Académie des Sciences morales et politiques,
Académie des Sciences morales,SUB,,
académie des sciences morales et politiques,SUB,Académie des Sciences morales et politiques,
Académie des Sciences morales et politiques,SUB,,
acid jazz,SUB,,
acte sexuel,SUB,,
actes sexuels,SUB,acte sexuel,
action painting,SUB,,
ad hoc,ADJ,,
administrateur général,SUB,,
affaires étrangères,SUB,,
afin d,PREP,,
afin d',PREP,,
afin de,PREP,,
afin de,PREP,,
afin qu,CONJsubord,,
afin que,CONJsubord,,
after shave,SUB,,
agent de change,SUB,,
agents de change,SUB,,
agnus dei,SUB,,
aide de camp,SUB,,
air bag,SUB,,
aller aller,EXCL,,
aller droit,VERB,,
aller de soi,VERB,,
allez allez,EXCL,,
allons allons,EXCL,,
alors que,CONJcoord,,
alter ego,SUB,,
Altesse,NAMEpers,,
Altesse Royale,NAMEpers,,
amour propre,SUB,,
appareil photo,SUB,,
après que,CONJsubord,,
argent de poche,SUB,,
arrêt maladie,SUB,,
arrière-train,SUB,,
assemblée générale,SUB,,
au-dedans de,PREP,,
au-dessous de,PREP,,
aujourd'hui,ADV,,
auprès de,PREP,,
auquel cas,CONJcoord,,
aussi peu que,PREP,,
autour de,PREP,,
autre chose,SUB,,
autre part,ADV,,
autrement dit,ADV,,
av. J.-C.,NUM,,
avant J.-C.,NUM,av. J.-C.,
avant de,PREP,,
avant même que,CONJsubord,,
avant que,CONJsubord,,
avant que de,PREP,,
avocat général,SUB,,
avoir l'air,VERB,,
avoir lieu,VERB,,
ayants droit,SUB,,
back up,SUB,,
bain de mer,SUB,,
bains de mer,SUB,,
bande à part,SUB,,
bas de page,SUB,,
bas ventre,SUB,bas-ventre,
bas-ventre,SUB,,
beat generation,SUB,,
beau fils,SUB,beau-fils,
beau frère,SUB,beau-frère,
beau père,SUB,beau-père,
beau temps,SUB,,
beaucoup de,DETindef,,
beaux esprits,SUB,bel esprit,
bec de gaz,SUB,,
becs de gaz,SUB,,
bel canto,SUB,,
bel esprit,SUB,,
belle fille,SUB,belle-fille,
belle lurette,SUB,,
belle mère,SUB,belle-mère,
belle sœur,SUB,belle-sœur,
best of,SUB,,
bien entendu,ADV,,
bien loin de,PREP,,
bien que,CONJsubord,,
bien sûr,ADV,,
big band,SUB,,
big bang,SUB,,
birth control,SUB,,
bla bla,SUB,,
bloody mary,SUB,,
blouson de cuir,SUB,,
blue jeans,SUB,,
blue note,SUB,,
boîte aux lettres,SUB,,
bon cœur,SUB,,
bon Dieu,EXCL,,
bon goût,SUB,,
bon gré,SUB,,
bon gré mal gré,ADV,,
bon marché,ADJ,,
bon point,SUB,,
bon sens,SUB,,
bon vieux temps,SUB,,
bonne conscience,SUB,,
bonne femme,SUB,,
bonne foi,SUB,,
bonne fortune,SUB,,
bonne humeur,SUB,,
bonne manière,SUB,,
bonne part,SUB,,
bonne volonté,SUB,,
bonnes volontés,SUB,,bonne volonté
bonnes gens,SUB,,
bordel de merde,EXCL,,
bouche bée,SUB,,
bouton d’or,SUB,,
bras dessus bras dessous,ADV,,
brown sugar,SUB,,
bubble gum,SUB,,
buen retiro,SUB,,
by night,ADJ,,
c'est-à-dire,ADV,,
cabinet de toilette,SUB,,
café au lait,SUB,,
cage d’escalier,SUB,,
call girl,SUB,,
call girls,SUB,,
canadian river,SUB,,
caput mortuum,SUB,,
cas particulier,SUB,,
casus belli,SUB,,
ce dernier,PROindef,,
cela supposé,PREP,,
celle ci,PROdem,celle-ci,
celle là,PROdem,celle-là,
celle-ci,PROdem,,
celle-là,PROdem,,
celui ci,PROdem,celui-ci,
celui là,PROdem,celui-là,
celui-ci,PROdem,,
celui-là,PROdem,,
cependant que,CONJsubord,,
ces derniers,PROindef,,
cette dernière,PROindef,,
cette fois ci,ADV,,
cette fois là,ADV,,
cette fois où,CONJbord,,
cette fois-ci,ADV,cette fois ci,
cette fois-là,ADV,cette fois ci,
ceux ci,PROdem,ceux-ci,
ceux là,PROdem,ceux-là,
chambre à coucher,SUB,,
Chambre des députés,SUB,,
champ de bataille,SUB,,
chapeau haut de forme,SUB,,
chaque fois,ADV,,
chaque fois que,CONJsubord,,
check up,SUB,,
chef d'entreprise,SUB,,
chef d’État,SUB,,
chef d’état,SUB,chef d’État,
chef de l’État,SUB,chef d’État,
chefs d’État,SUB,,chef d’État
chefs d’état,SUB,chefs d’État,chef d’État
chefs de l’État,SUB,chefs d’État,chef d’État
chef d'oeuvre,SUB,chef-d'œuvre,
chef d'œuvre,SUB,chef-d'œuvre,
chef-d'oeuvre,SUB,chef-d'œuvre,
chef-d'œuvre,SUB,,
chefs d'oeuvre,SUB,,chef-d'œuvre
chefs d'œuvre,SUB,chefs-d'œuvre,chef-d'œuvre
chefs-d'oeuvre,SUB,chefs-d'œuvre,chef-d'œuvre
chefs-d'œuvre,SUB,chefs-d'œuvre,chef-d'œuvre
chemin de fer,SUB,,
chemin de fer d'intérêt local,SUB,,
chemins de fer,SUB,,chemin de fer
chemise de nuit,SUB,,
chewing gum,SUB,,
chien de fusil,SUB,,
chop suey,SUB,,
chute libre,SUB,,
citizen band,SUB,,
clair de lune,SUB,,
clin d'œil,SUB,,
coffee shop,SUB,,
coin de l’oeil,SUB,,
coin de l’œil,SUB,,
comic book,SUB,,
comic books,SUB,,
commedia dell'arte,SUB,,
compte tenu de,PREP,,
conférence de presse,SUB,,
conformément à,PREP,conformément à,
conformément au,PREP,conformément à,
conformément aux,PREP,conformément à,
connaissance de cause,SUB,,
conseil d'administration,SUB,,
conseil d'Etat,SUB,Conseil d'État,
conseil d'etat,SUB,Conseil d'État,
conseil d'état,SUB,Conseil d'État,
conseil général,SUB,,
conseiller général,SUB,,
conséquemment à,PREP,,
contrairement à,PREP,contrairement à,
contrairement au,PREP,contrairement à,
contrairement aux,PREP,contrairement à,
corn flakes,SUB,,
corps de garde,SUB,,
côte à côte,ADV,,
coup d'épée,SUB,,
coup d'oeil,SUB,,
coup d'œil,SUB,,
coup de balai,SUB,,
coup de bâton,SUB,,
coup de feu,SUB,,
coup de fil,SUB,,
coup de fusil,SUB,,
coup de main,SUB,,
coup de pied,SUB,,
coup de pistolet,SUB,,
coup de poing,SUB,,
coup de vent,SUB,,
coup sur coup,ADV,,
coups d'épée,SUB,,
coups d'oeil,SUB,,
coups d'œil,SUB,,
coups de balai,SUB,coup de balai,
coups de bâton,SUB,coup de bâton,
coups de feu,SUB,,
coups de fusil,SUB,coup de fusil,
coups de main,SUB,,
coups de pied,SUB,,
coups de pistolet,SUB,,
coups de poings,SUB,,
coups de vent,SUB,,
coups et blessures,SUB,,
coups et blessures aggravés,SUB,,
cour d'assises,SUB,,
cour suprême,NAMEorg,Cour suprême,
courrier électronique,SUB,,
cri de joie,SUB,,
critique d'art,SUB,,
culture générale,SUB,,
curriculum vitae,SUB,,
d'abord,ADV,,
d'accord,ADV,,
d'ailleurs,ADV,,
d'autant que,CONJcoord,,
d'autre part,ADV,,
d'autres,PROindef,,
d'emblée,ADV,,
d'ordre général,ADJ,,
d'ores et déjà,ADV,,
d'un autre côté,PREP,,
d'un seul coup,ADV,,
d'une part,ADV,,
d’après,PREP,,
d’au milieu de,PREP,,
d’avec,PREP,,
d’entre,PREP,,
d’ici,PREP,,
dame patronnesse,SUB,,
dames patronnesses,SUB,,
dans l’optique de,PREP,,
dans la crainte de,PREP,,
dans la merde,ADV,,
dans une certaine mesure,ADV,,
dans une large mesure,ADV,,
dans la plupart des cas,ADV,,
dans le moment où,PREP,,
dans le moment que,PREP,,
dans le viseur de,PREP,,
dans l’état actuel,ADV,,
dare dare,ADV,,
de amicis,SUB,,
de auditu,ADV,,
de bon cœur,ADV,,
de bonne heure,ADVtemp,,
de crainte de,PREP,,
de façon à,PREP,,
de facto,ADV,,
de guingois,ADV,,
de haut en bas,ADV,,
de la part de,PREP,de la part de,
de la part d’,PREP,de la part de,
de la part du,PREP,de la part de,
de la part des,PREP,de la part de,
de long en large,ADV,,
de manière à,PREP,,
de manière générale ,ADV,,
de même,ADV,,
de même que,CONJcoord,,
demi siècle,SUB,demi-siècle,
demi siècles,SUB,demi-siècles,demi-siècle
de mon côté,PREP,,
de niveau avec,PREP,,
de par,PREP,,
de parmi,PREP,,
de peur de,PREP,,
de plano,ADV,,
de plein gré,ADV,,
de plus,ADV,,
de plus en plus,ADV,,
de préférence à,PREP,de préférence à,
de préférence au,PREP,de préférence à,
de préférence aux,PREP,de préférence à,
de profundis,SUB,,
de santis,SUB,,
de sorte que,CONJsubord,,
de temps en temps,ADVtemp,,
de toutes parts,ADV,,
de traviole,ADV,,
de visu,ADV,,
défense de,PREP,,
défini sur,PREP,,
delirium tremens,SUB,,
demander pardon,VERB,,
dernier soupir,SUB,,
des fois que,CONJsubord,,
dès lors,ADVtemp,,
dès lors que,CONJsubord,,
dès que,CONJsubord,,
deus ex machina,SUB,,
deux fois,ADV,,
deux fois par an,ADV,,
deux fois par mois,ADV,,
deux fois par semaine,ADV,,
devant notaire,PREP,,
devoir dire,VERB,,
dies irae,SUB,,
Dieu sait,PREP,,
dîner en ville,SUB,,
directeur général,SUB,,
direction générale,SUB,,
disque dur,SUB,,
donner lieu,VERB,,
donner l'ordre,VERB,,
donner l’impression,VERB,,
donner la main,VERB,,
drelin drelin,EXCL,,
droit d’ainesse,SUB,,
du côté de,PREP,,
du fond du cœur,ADV,,
du haut en bas,ADV,,
du milieu de,PREP,,
du reste,ADV,,
du tac au tac,ADV,,
du temps que,PREP,,
du vivant de,PREP,,
eau minérale,SUB,,
ecce homo,ADV,,
éclat de rire,SUB,,
éclater de rire,VERB,,
éclats de rire,SUB,éclat de rire,
École polytechnique,SUB,École Polytechnique,
École Polytechnique,SUB,,
empreinte digitale,SUB,,
empreintes digitales,SUB,empreinte digitale,
en amont d’,PREP,,
en amont de,PREP,,
en amont des,PREP,,
en amont du,PREP,,
en apparence,ADV,,
en arrière,ADV,,
en arrière de,PREP,,
en aval d’,PREP,,
en aval de,PREP,,
en aval des,PREP,,
en aval du,PREP,,
en avant de,PREP,,
en bas,ADV,,
en bonne voie,ADV,,
en catimini,ADV,,
en ce qui concerne,PREP,,
en compagnie de,PREP,,
en comparaison de,PREP,,
en conformité de,PREP,,
en connaissance de cause,ADV,,
en conséquence de,PREP,,
en considération de,PREP,,
en d’autres termes,ADV,,
en deçà,ADV,,
en deçà de,PREP,,
en définitive,ADV,,
en dehors de,ADV,en dehors de,
en dehors du,ADV,en dehors de,
en dehors des,ADV,en dehors de,
en dehors d’,ADV,en dehors de,
en dépit de,PREP,en dépit de,
en dépit du,PREP,en dépit de,
en dépit des,PREP,en dépit de,
en dépit d',PREP,en dépit de,
en dessous,PREP,,
en effet,ADV,,
en exécution de,PREP,,
en face,ADV,,
en face de,PREP,en face de,
en face du,PREP,en face de,
en face des,PREP,en face de,
en face d’,PREP,en face de,
en fait de,PREP,,
en faveur de,ADV,en faveur de,
en faveur du,ADV,en faveur de,
en faveur des,ADV,en faveur de,
en faveur d’,ADV,en faveur de,
en filigrane,ADV,,
en fin de compte,ADV,,
en fonction de,PREP,,
# en forme,ADV,, # je m’en forme une idée
en forme de,PREP,,
en friche,ADJ,,
en général,ADV,,
en grande partie,ADV,,
en guise de,PREP,en guise de,
en guise d’,PREP,en guise de,
en haut,ADV,,
en lieu et place de,PREP,,
en loucedé,ADV,,
en marge,ADV,,
en marge de,PREP,en marge de,
en marge des,PREP,en marge de,
en marge du,PREP,en marge de,
en marge d’,PREP,en marge de,
en matière de,PREP,,
en même temps,ADV,,
en même temps que,PREP,,
en mémoire de,PREP,,
en outre,ADV,,
en partant,ADV,,
en particulier,ADV,,
en passant,ADV,,
en passe de,PREP,,
en permanence,ADV,,
en plein,ADV,,
en pleine,ADV,,en plein
en plein essor,ADV,,
en plein jour,ADV,,
en pleine connaissance de cause,ADV,,
en présence,ADV,,
en présence de,PREP,en présence de,
en présence du,PREP,en présence de,
en présence des,PREP,en présence de,
en présence d’,PREP,en présence de,
en proie à,PREP,en proie à,
en proie au,PREP,en proie à,
en proie aux,PREP,en proie à,
en quelque sorte,ADV,,
en raison de,PREP,,
en réalité,ADV,,
en regard de,PREP,,
en retour,ADV,,
en revanche,ADV,,
en second lieu,ADV,,
en premier lieu,ADV,,
en sorte que,CONJsubord,,
en soi,ADV,,
en somme,ADV,,
en sus,ADV,,
en sus de,PREP,,
en tapinois,ADV,,
en tapinois,ADV,,
en tant que,CONJ,,
en termes de,PREP,en termes de,
en termes d',PREP,en termes de,
en tous cas,ADV,,
en train de,ADV,,
en train d',ADV,en train de,
en vain,ADV,,
en vérité,ADV,,
en vertu de,PREP,en vertu de,
en vertu du,PREP,en vertu de,
en vertu des,PREP,en vertu de,
en vertu d’,PREP,en vertu de,
en vigueur,ADV,,
en vue de,PREP,,
encore une fois,ADV,,
enfant de choeur,SUB,enfant de chœur,
enfant de chœur,SUB,,
enfants de choeur,SUB,enfants de chœur,
enfants de chœur,SUB,,
entenant de,PREP,,
entendre parler,VERB,,
entrer en ligne de compte,VERB,,
est-ce qu,ADV,,
est-ce qu',ADV,,
est-ce que,ADV,,
et caetera,ADVquant,etc.,
et cætera,ADVquant,,
et cetera,ADVquant,etc.,
et seq,ADV,,
étant donné,PREP,,
état civil,SUB,,
état d’âme,SUB,,
état d’esprit,SUB,,
état d’exception,SUB,,
état de choses,SUB,,
état de fait,SUB,,
état de grâce,SUB,,
état de nature,SUB,,
état de siège,SUB,,
être parti,VERB,,partir
être partis,VERB,,partir
être partie,VERB,,partir
être parties,VERB,,partir
être tenu,VERB,,être tenu
être tenus,VERB,,être tenu
être tenue,VERB,,être tenu
être tenues,VERB,,être tenu
eu égard à,PREP,eu égard à,
eu égard au,PREP,eu égard à,
eu égard aux,PREP,eu égard à,
ex abrupto,ADV,,
ex nihilo,ADV,,
face à,PREP,face à,
face au,PREP,face à,
face aux,PREP,face à,
face à face,SUB,,
faire abstraction,VERB,,
faire face,VERB,,
faire grief,VERB,,
faire mine,VERB,,
faire place,VERB,,
faire partie,VERB,,
faire semblant,VERB,,
fast food,SUB,,
faute de,PREP,,
fauteuil roulant,SUB,,
faux monnayeurs,SUB,,
femme de chambre,SUB,,
femmes de chambre,SUB,femme de chambre,
five o'clock,SUB,,
flatus vocis,SUB,,
fond de l’âme,SUB,,
foreign office,SUB,,
fort bien,ADV,,
free jazz,SUB,,
fur et à mesure,SUB,,
garde champêtre,SUB,,
garde du corps,SUB,,
garde du roi,SUB,,
garde national,SUB,,
garde nationale,SUB,,
gardes du corps,SUB,garde du corps,
gardes du roi,SUB,garde du roi,
gardes nationaux,SUB,,
gare centrale,SUB,,
général en chef,SUB,,
gengis khan,SUB,,
gens du monde,SUB,,
girl friend,SUB,,
goutte à goutte,ADV,,
grâce à,PREP,grace à,
grâce au,PREP,grace à,
grâce aux,PREP,grace à,
grâces à,PREP,,
grain de beauté,SUB,,
grand chose,SUB,grand-chose,
grand dieu,SUB,,
grand mère,SUB,grand-mère,
grand oncle,SUB,grand-oncle,
grand père,SUB,grand-père,
grand seigneur,SUB,,
grand'chose,SUB,grand-chose,
grand'mère,SUB,grand-mère,
grand'père,SUB,grand-père,
grand'tante,SUB,,
grands dieux,SUB,,
grands seigneurs,SUB,grand seigneur,
gratis pro deo,ADV,,
grève générale,SUB,,
grosso modo,ADV,,
guerre civile,SUB,,
guerre mondiale,SUB,,
guerres mondiales,SUB,guerre mondiale,
happy end,SUB,,
happy ends,SUB,,
happy few,SUB,,
hard edge,SUB,,
has been,SUB,,
haut de forme,SUB,haut-de-forme,
haut fait,SUB,,
haut rang,SUB,,
haut-de-forme,SUB,,
haute vertu,SUB,,
hauts faits,SUB,haut fait,
hay hay,EXCL,,
hi hi,EXCL,,
hi hi hi,EXCL,,
hi hi hi hi,EXCL,,
hic et nunc,ADV,,
high life,SUB,,
high tech,ADJ,,
hold up,SUB,,
homme d’état,SUB,,
homo erectus,SUB,,
homo habilis,SUB,,
hong kong,SUB,,
honnête homme,SUB,,
honnêtes gens,SUB,,
honoris causa,ADV,,
hors de,PREP,,
hot dog,SUB,,
hot dogs,SUB,,
hôtel de police,SUB,,
hôtel de ville,SUB,,
house music,SUB,,
il était une fois,ADV,,
il être possible que,PREP,,
il n’empêche que,PREP,,
il n’en reste pas moins que,PREP,,
il pourrait bien se faire que,PREP,,
il se pourrait que,PREP,,
il serait possible que,PREP,,
il y avoir,VERBaux,il y a,
il y avoir avoir,VERBaux,il y a,
in absentia,ADV,,
in abstracto,ADV,,
in anima vili,ADV,,
in cauda venenum,ADV,,
in extenso,ADV,,
in extremis,ADV,,
in illo tempore,PREP,,
in memoriam,ADV,,
in pace,SUB,,
in petto,ADV,,
in utero,ADV,,
in utero,ADJ,,
in vino veritas,ADV,,
in vitro,ADV,,
in vitro,ADJ,,
in vivo,ADV,,
inspecteur de police,SUB,,
intérêt général,SUB,,
intra muros,ADV,,
invisible piston,SUB,,
ipso facto,ADV,,
irish coffee,SUB,,
ite missa est,SUB,,
jet society,SUB,,
jeune fille,SUB,,
jeunes filles,SUB,,jeune fille
jeune homme,SUB,,
jeunes hommes,SUB,,jeune homme
jeunes gens,SUB,,
jouer le rôle,VERB,,
jouer un rôle,VERB,,
jour après jour,ADV,,
jour de l'an,SUB,,
juge d’instruction,SUB,,
juge de paix,SUB,,
jusqu’à,PREP,jusque,
jusqu’au,PREP,jusque,
jusqu’aux,PREP,jusque,
jusqu'à ce que,CONJsubord,,
jusqu'à la fin,PREP,,
jusqu'à nouvel ordre,ADV,,
jusqu’au bout,ADV,,
jusqu’ici,ADV,,
jusques à,PREP,,
jusques et y compris,PREP,,
juste ciel,SUB,,
juste ciel,EXCL,,
Juste ciel,EXCL,,
kung fu,SUB,,
kyrie eleison,SUB,,
l'un,PROindef,,
l'une,PROindef,,
l’autre,PROindef,,
la cinquième,DETnum,,
la dernière,PROindef,,
la deuxième,DETnum,,
la dixième,DETnum,,
la douzième,DETnum,,
la fois où,CONJsubord,,
la huitième,DETnum,,
la mienne,PROposs,,
la neuvième,DETnum,,
la onzième,DETnum,,
la plata,SUB,,
la plupart,PROindef,,
la plupart de,DETindef,,
la plupart des,DETindef,,
la plupart du,DETindef,,
la première,DETnum,,
la première fois,ADV,,
la quatrième,DETnum,,
la seconde,DETnum,,
la septième,DETnum,,
la sienne,PROposs,,
la sixième,DETnum,,
la tienne,PROposs,,
la treizième,DETnum,,
la troisième,DETnum,,
la vingtième,DETnum,,
lacryma christi,SUB,,
laisser passer,VERB,,
laisser tomber,VERB,,
le bon Dieu,NAMEgod,,
le cinquième,DETnum,,
le dernier,PROindef,,
le deuxième,DETnum,,
le diable soit de,PREP,,
le dixième,DETnum,,
le douzième,DETnum,,
le huitième,DETnum,,
le long de,PREP,,
le long des,PREP,,
le long du,PREP,,
le mien,PROposs,,
le moment venu,ADV,,
le neuvième,DETnum,,
le nôtre,PROposs,,
le onzième,DETnum,,
le premier,DETnum,,
le quatrième,DETnum,,
le second,DETnum,,
le second,DETnum,,
le septième,DETnum,,
le sien,PROposs,,
le sixième,DETnum,,
le tien,PROposs,,
le treizième,DETnum,,
le troisième,DETnum,,
le vingtième,DETnum,,
le vôtre,PROposs,,
légion d'honneur,SUB,,
les deux,DETnum,,
les deuxièmes,DETnum,,
les fois où,CONJsubord,,
les fois que,CONJsubord,,
les miennes,PROposs,,
les miens,PROposs,,
les nôtres,PROposs,,
les premières,DETnum,,
les premiers,DETnum,,
les secondes,DETnum,,
les seconds,DETnum,,
les siennes,PROposs,,
les siens,PROposs,,
les tiennes,PROposs,,
les tiens,PROposs,,
les trois,DETnum,,
les vôtres,PROposs,,
libre arbitre,SUB,,
lieutenant de police,SUB,,
ligne de compte,SUB,,
lieu-commun,SUB,lieu commun,
lieu commun,SUB,,
lieux communs,SUB,,lieu commun
lieux-communs,SUB,lieux communs,lieu commun
lit de sangle,SUB,,
livre sterling,SUB,,
livres de rente,SUB,,
livres sterling,SUB,,livre sterling
loc. cit.,SUB,,
loin de,PREP,,
long terme,SUB,,
lors de,PREP,,
lutte des classes,SUB,,
machine à vapeur,SUB,,
made in,ADV,,
madre de dios,SUB,,
maison d'édition,SUB,,
maison d’arrêt,SUB,,
maison de campagne,SUB,,
maison de passe,SUB,,
maisons de passe,SUB,,
maître d'école,SUB,,
maître d'hôtel,SUB,,
maître de maison,SUB,,
maître de poste,SUB,,
maître des requêtes,SUB,,
maître queux,SUB,,
maîtresse de maison,SUB,,
mal à l’aise,ADJ,,
malade mental,SUB,,
maladie mentale,SUB,,
malgré tout,ADV,,
manque de,PREP,,
manu militari,ADV,,
marchand de vin,SUB,,
marchands de vin,SUB,,
maréchal des logis,SUB,,
mass media,SUB,,
mater dolorosa,SUB,,
mauvais goût,SUB,,
mauvais sort,SUB,,
mauvaise conscience,SUB,,
mauvaise foi,SUB,,
mauvaise grâce,SUB,,
mauvaise humeur,SUB,,
maux de tête,SUB,,
mea culpa,SUB,,
melting pot,SUB,,
même quand,CONJsubord,,
même si,CONJsubord,,
mètres carrés,SUB,,
mettre en doute,VERB,,
mettre en examen,VERB,,
mettre en exergue,VERB,,
mettre en forme,VERB,,
mettre en garde,VERB,,
mettre en lumière,VERB,,
mettre en œuvre,VERB,,
mettre en peine,VERB,,
mettre en question,VERB,,
mettre la table,VERB,,
mezza voce,ADV,,
middle class,SUB,,
milk shake,SUB,,
ministère public,SUB,,
ministre de l'Intérieur,SUB,,
ministre de l'intérieur,SUB,ministre de l'Intérieur,
ministre de la guerre,SUB,,
ministre de la justice,SUB,,
ministre des affaires étrangères,SUB,Ministre des Affaires étrangères,
ministre des Affaires étrangères,SUB,Ministre des Affaires étrangères,
Ministre des Affaires étrangères,SUB,,
ministre des finances,SUB,ministre des Finances,
ministre des Finances,SUB,,
minus habens,SUB,,
mise en cause,SUB,,
mise en oeuvre,SUB,mise en œuvre,
mise en œuvre,SUB,,
mise en ordre,SUB,,
mise en place,SUB,,
mise en question,SUB,,
modern style,SUB,,
modern style,ADJ,,
modus operandi,SUB,,
modus vivendi,SUB,,
mon Dieu,EXCL,,
mot d’ordre,SUB,,
mots d’ordre,SUB,,mot d’ordre
motu proprio,ADV,,
Moyen Age,SUB,Moyen-Âge,
moyen age,SUB,Moyen-Âge,
Moyen Âge,SUB,Moyen-Âge,
moyen âge,SUB,Moyen-Âge,
moyen-âge,SUB,Moyen-Âge,
music hall,SUB,,
mutatis mutandis,ADV,,
n'est ce pas,ADV,n'est-ce pas,
