lemma,udpos,count,distinct_forms
propre,ADJ,57645078,2
propre,NOUN,57645078,2
devant,ADP,57454604,1
devant,ADV,57454604,1
cours,NOUN,57380601,1
important,NOUN,57116321,4
ayant,NOUN,56844588,2
second,NOUN,56828040,4
douter,VERB,56800582,36
jeune,NOUN,56531874,2
mouvement,NOUN,56204072,2
mois,NOUN,56131915,1
membre,NOUN,56000715,2
public,NOUN,55818888,2
lettre,NOUN,55563560,2
près,ADV,55131727,1
suite,NOUN,54944339,2
également,ADV,54734627,1
nécessaire,ADJ,54581692,2
nécessaire,NOUN,54581692,2
fin,ADV,54326345,1
montrer,VERB,54214443,36
marcher,VERB,53836614,37
écrire,VERB,53826757,36
fondre,VERB,53782432,36
terme,NOUN,53420902,2
possible,ADJ,53370543,2
beau,NOUN,52973192,6
ensemble,NOUN,52670740,2
sommer,VERB,52433330,36
résultat,NOUN,52324486,2
somme,NOUN,51881131,2
abord,NOUN,51780377,2
matière,NOUN,51483672,2
prix,NOUN,51361714,1
caractère,NOUN,51208117,2
chef,NOUN,50773807,4
rechercher,VERB,50694858,36
ensemble,ADV,50657010,1
armer,ADJ,50642779,4
économique,NOUN,50550039,2
autant,ADV,50347720,1
doute,NOUN,50202835,2
servir,VERB,49860899,36
sorte,NOUN,49827420,2
puis,CCONJ,49775571,1
besoin,NOUN,49599420,2
famille,NOUN,48732437,2
nombreux,ADJ,48727877,3
titrer,VERB,48582863,36
fort,ADV,48557265,1
arriver,VERB,48529626,36
époque,NOUN,48483665,2
problème,NOUN,48453500,2
titre,NOUN,48340371,2
situation,NOUN,48137198,2
penser,VERB,47903222,36
acte,NOUN,47549871,2
ma,DET,47252091,1
développement,NOUN,47092851,2
fonction,NOUN,46875024,2
ministre,NOUN,46866286,2
selon,ADP,46751914,1
selon,ADV,46751914,1
affairer,VERB,46727807,36
grouper,VERB,46688431,36
affaire,NOUN,46612537,2
vrai,ADJ,46166929,4
mieux,NOUN,46140643,1
plan,NOUN,46052813,4
presque,ADV,45996361,1
armée,NOUN,45688044,2
entreprendre,ADJ,45639514,3
demande,NOUN,45633181,2
cependant,ADV,45384158,1
simple,NOUN,45282418,2
fond,NOUN,45270874,2
principal,NOUN,45065344,4
maison,NOUN,44875255,2
pratiquer,VERB,44829176,36
liberté,NOUN,44704613,2
science,NOUN,44434982,2
donne,NOUN,44414883,2
groupe,NOUN,44362112,2
contraire,ADJ,44321156,2
contraire,NOUN,44321156,2
milieu,NOUN,44202994,2
écrire,ADJ,44079221,4
ouvrager,VERB,44043451,36
ouvrage,NOUN,44040086,2
projet,NOUN,43964726,2
porte,ADJ,43962528,2
porte,NOUN,43962528,2
recevoir,VERB,43854202,36
expérience,NOUN,43770334,2
dès,ADP,43726663,1
disposition,NOUN,43673468,2
supérieur,NOUN,43619023,4
élever,VERB,43570233,36
maintenir,VERB,43003617,36
façon,NOUN,42995253,2
recherche,NOUN,42906006,2
ligner,VERB,42869942,36
ligne,NOUN,42824087,2
peiner,VERB,42822181,36
humain,NOUN,42777329,4
représenter,VERB,42633857,36
mal,NOUN,42623701,2
peine,NOUN,42607405,2
texte,NOUN,42451420,2
juger,VERB,42346329,36
enfin,ADV,42265217,1
constituer,VERB,42204074,36
entreprise,NOUN,42192941,2
production,NOUN,41873220,2
concerner,VERB,41639733,14
élément,NOUN,41584380,2
penser,ADJ,41531857,4
région,NOUN,41017744,2
activité,NOUN,40685564,2
noter,VERB,40647984,36
appeler,VERB,40636690,36
fil,NOUN,40414314,2
espèce,NOUN,40364075,2
parti,NOUN,40009630,2
relation,NOUN,39894855,2
régler,VERB,39766865,47
baser,VERB,39585595,36
population,NOUN,39431707,2
garder,VERB,39381666,36
intérieur,ADJ,39282140,4
autorité,NOUN,39104301,2
pratique,ADJ,39088467,2
pratique,NOUN,39088467,2
offrir,VERB,38928090,34
loin,ADV,38904343,1
mètre,NOUN,38791498,44
votre,DET,38692641,1
répondre,VERB,38647740,36
naturel,NOUN,38457126,4
classer,VERB,38410307,36
rôle,NOUN,38368828,2
charger,VERB,38359877,36
suivant,ADP,38350756,1
mal,ADV,38327419,1
base,NOUN,38155017,2
niveau,NOUN,38066000,2
mes,DET,38018401,1
établir,VERB,37917611,29
figurer,VERB,37857543,36
savoir,NOUN,37831055,2
miser,VERB,37805364,36
passer,ADJ,37779902,4
passé,NOUN,37779902,4
commercer,VERB,37629934,37
tête,NOUN,37590504,2
chercher,VERB,37514823,36
mise,NOUN,37500337,2
lorsque,SCONJ,37355988,2
père,NOUN,37276430,2
vu,ADP,37241447,1
maître,NOUN,37111073,4
entendre,VERB,36961042,36
voie,NOUN,36917684,2
pensée,NOUN,36783257,2
devoir,ADJ,36733331,4
originer,VERB,36700018,36
origine,NOUN,36665549,2
aider,VERB,36440904,36
lire,VERB,36403399,36
obtenir,VERB,36332188,36
relatif,NOUN,36310469,4
écrit,NOUN,36302885,2
haut,NOUN,36136843,2
classe,NOUN,36087469,2
donnée,NOUN,35953178,2
commerce,NOUN,35855807,2
langue,NOUN,35779585,2
reconnaître,VERB,35744068,36
typer,VERB,35739857,36
type,NOUN,35724624,2
école,NOUN,35530252,2
international,NOUN,35519817,4
ouvrier,NOUN,35491564,4
coup,NOUN,35486567,2
importer,VERB,35197804,36
influencer,VERB,35191856,36
analyser,VERB,35146568,36
traiter,ADJ,35093941,4
puissance,NOUN,35067302,2
ajouter,VERB,35062682,36
dessus,ADP,34955874,1
dessus,ADV,34955874,1
dessus,NOUN,34955874,1
appartenir,VERB,34941575,37
qualité,NOUN,34868799,2
organisation,NOUN,34739186,2
conduire,ADJ,34704603,4
conduit,NOUN,34704603,4
parmi,ADP,34680876,1
parmi,ADV,34680876,1
lors,ADV,34678963,1
but,NOUN,34664527,2
priser,VERB,34559622,36
prince,NOUN,34551126,4
moral,NOUN,34335616,4
cœur,NOUN,34293881,2
assurer,VERB,34174709,36
pièce,NOUN,34161922,2
période,NOUN,34092022,2
capital,NOUN,34076760,4
juin,NOUN,33870828,2
commencer,VERB,33747501,36
influence,NOUN,33705934,2
franc,NOUN,33674353,2
connaitre,ADJ,33650288,4
connaître,ADJ,33650288,4
yeux,NOUN,33608567,1
conseil,NOUN,33577873,2
méthode,NOUN,33392224,2
mars,NOUN,33293315,1
ami,NOUN,33264109,4
ruer,VERB,33258490,36
pied,NOUN,33184860,2
continuer,VERB,33156734,36
militaire,NOUN,33148957,2
existence,NOUN,33121098,2
juillet,NOUN,33113005,2
usage,NOUN,33108659,2
revenir,VERB,33064430,36
cent,NOUN,32882063,2
administration,NOUN,32834724,2
bas,NOUN,32834433,3
rue,NOUN,32822330,2
règle,NOUN,32818908,2
environ,NOUN,32778903,2
air,NOUN,32700930,2
vrai,NOUN,32640042,1
domaine,NOUN,32621484,2
opinion,NOUN,32550101,2
occuper,VERB,32535827,36
religieux,NOUN,32483937,3
connaissance,NOUN,32434840,2
atteindre,VERB,32433100,36
fils,NOUN,32425615,1
emploi,NOUN,32276297,2
million,NOUN,32267012,2
personnel,ADJ,32222242,4
présider,VERB,32208720,36
attendre,VERB,32207643,36
ensuite,ADV,32197505,1
propriété,NOUN,32143984,2
haut,ADV,32136319,1
suffire,VERB,32103047,35
culture,NOUN,32067111,2
position,NOUN,32021712,2
libre,ADJ,32009349,2
charge,NOUN,31913712,2
animal,ADJ,31907378,4
limiter,VERB,31875149,36
prise,NOUN,31860352,2
présence,NOUN,31848123,2
élever,ADJ,31738157,4
vérité,NOUN,31726258,2
opération,NOUN,31701694,2
égard,NOUN,31626820,2
traité,NOUN,31527826,2
civil,NOUN,31467240,4
gens,NOUN,31320796,1
observation,NOUN,31221572,2
apparaître,VERB,31200772,36
expliquer,VERB,31115041,36
seconder,VERB,31089762,36
âge,NOUN,31032477,2
président,NOUN,30948227,4
fer,NOUN,30911578,2
conséquence,NOUN,30796832,2
conduire,VERB,30731896,36
rencontrer,VERB,30727366,36
marché,NOUN,30670545,2
dater,VERB,30641002,36
analyse,NOUN,30540875,2
admettre,VERB,30499447,36
porter,ADJ,30482618,4
face,NOUN,30459933,2
considérer,VERB,30420701,47
importance,NOUN,30365706,2
décembre,NOUN,30330105,2
aura,NOUN,30255212,2
saint,NOUN,30227714,4
or,NOUN,30085956,2
courant,NOUN,30070900,4
mer,NOUN,30061555,2
pager,VERB,30019039,36
rendre,ADJ,30018022,4
page,NOUN,30006699,2
or,CCONJ,29960370,1
plutôt,ADV,29909528,1
avril,NOUN,29836214,2
sentiment,NOUN,29818808,2
seconde,NOUN,29759865,44
manquer,VERB,29722617,36
plein,ADJ,29718955,4
actuel,NOUN,29711642,4
technique,ADJ,29683822,2
technique,NOUN,29683822,2
entier,NOUN,29625527,4
janvier,NOUN,29606624,2
différence,NOUN,29594512,2
industrie,NOUN,29460435,2
véritable,ADJ,29445369,2
centrer,VERB,29442779,36
genre,NOUN,29420302,2
chemin,NOUN,29349077,2
local,ADJ,29339717,4
figure,NOUN,29272397,2
établissement,NOUN,29270675,2
formation,NOUN,29257267,2
établir,ADJ,29243472,4
nation,NOUN,29220254,2
paraitre,VERB,29163841,36
centre,NOUN,29156550,2
notamment,ADV,29113937,1
application,NOUN,29111591,2
réalité,NOUN,29094122,2
contenir,VERB,29093453,36
difficulté,NOUN,28984736,2
effort,NOUN,28957758,2
intérieur,NOUN,28948593,2
fille,NOUN,28948372,2
mère,NOUN,28944154,2
ennemi,NOUN,28767946,4
charger,ADJ,28750450,4
chargé,NOUN,28750450,4
difficile,ADJ,28697670,2
tour,NOUN,28670362,2
taire,ADJ,28631670,4
total,NOUN,28631644,4
mille,NOUN,28596378,2
quantité,NOUN,28532804,2
direction,NOUN,28478180,2
remarquer,VERB,28466311,36
régime,NOUN,28433546,2
phénomène,NOUN,28389396,2
tableau,NOUN,28329422,2
tard,ADV,28326061,1
parole,NOUN,28307500,2
âme,NOUN,28302098,2
passé,ADP,28276316,1
durer,VERB,28265873,37
animal,NOUN,28207987,2
meilleur,NOUN,28197118,4
outrer,VERB,28187506,36
grâce,NOUN,28089770,2
outre,NOUN,28051677,2
allemand,NOUN,27960828,4
outre,ADP,27927120,1
outre,ADV,27927120,1
rappeler,VERB,27921403,36
longtemps,ADV,27899484,1
paix,NOUN,27867817,1
demeurer,VERB,27713834,37
amour,NOUN,27692518,2
devoir,NOUN,27664431,2
imager,VERB,27619516,36
image,NOUN,27599778,2
sol,NOUN,27508742,2
résulter,VERB,27504171,14
volonté,NOUN,27463242,2
octobre,NOUN,27423261,2
extérieur,ADJ,27390734,4
occasion,NOUN,27308170,2
décision,NOUN,27276206,2
spécial,NOUN,27263783,4
accord,NOUN,27253022,2
théorie,NOUN,27242460,2
espacer,VERB,27218156,36
européen,NOUN,27176276,4
moyenner,VERB,27144050,36
der,NOUN,27084437,1
espace,NOUN,27078400,2
parler,NOUN,27077817,2
individu,NOUN,27053913,2
justice,NOUN,27036052,2
maladie,NOUN,26981732,2
travers,NOUN,26976301,3
août,NOUN,26965190,2
vieux,NOUN,26964415,4
tenir,ADJ,26930142,4
destiner,ADJ,26888088,4
critiquer,VERB,26878216,36
employer,ADJ,26877132,4
employé,NOUN,26877132,4
fournir,VERB,26805369,29
connaitre,VERB,26756514,36
début,NOUN,26745412,2
aide,NOUN,26737632,2
passage,NOUN,26687079,2
maintenant,ADV,26636638,1
parfois,ADV,26573418,1
circonstance,NOUN,26570912,2
construction,NOUN,26551271,2
tandis,ADP,26510249,1
septembre,NOUN,26505941,2
réel,ADJ,26476015,4
complet,ADJ,26449922,4
bois,NOUN,26434860,1
blanc,NOUN,26351335,4
note,NOUN,26328171,2
environ,ADV,26262649,1
expression,NOUN,26146527,2
solution,NOUN,26110818,2
novembre,NOUN,26064205,2
lutter,VERB,26057485,37
posséder,VERB,25999998,47
limite,ADJ,25998948,2
limite,NOUN,25998948,2
date,NOUN,25951255,2
proposer,VERB,25917116,36
malade,NOUN,25881790,2
volume,NOUN,25880030,2
relater,VERB,25875298,36
apprendre,VERB,25799312,36
garde,NOUN,25793978,2
anglais,NOUN,25793813,3
enseignement,NOUN,25736960,2
cadrer,VERB,25708083,36
juge,NOUN,25681980,2
trouver,ADJ,25666511,4
degré,NOUN,25602788,2
faible,ADJ,25598628,2
élève,NOUN,25514572,2
priver,ADJ,25509818,4
privé,NOUN,25509818,4
cadre,NOUN,25464876,2
précédent,NOUN,25446620,4
économie,NOUN,25445218,2
argent,NOUN,25429335,2
lumière,NOUN,25419712,2
atteindre,ADJ,25379240,4
unité,NOUN,25335930,2
soin,NOUN,25314320,2
sourcer,VERB,25296519,36
source,NOUN,25295113,2
recevoir,ADJ,25261652,4
reçu,NOUN,25261652,4
aimer,VERB,25204609,36
sérier,VERB,25199583,36
critique,NOUN,25198394,2
série,NOUN,25112939,2
reprendre,VERB,25109560,36
surfacer,VERB,25105560,36
surface,NOUN,25102392,2
jouer,VERB,25053611,36
cesser,VERB,25053213,36
procéder,VERB,24922210,48
structurer,VERB,24913499,36
nuire,VERB,24855559,37
mode,NOUN,24807892,2
correspondre,VERB,24749744,37
honneur,NOUN,24674070,2
armer,VERB,24499520,36
champ,NOUN,24465504,2
indiquer,VERB,24418800,36
bas,ADV,24384553,1
religion,NOUN,24342304,2
mauvais,NOUN,24322288,3
considérable,ADJ,24300448,2
structure,NOUN,24296990,2
arriver,ADJ,24280106,4
doubler,VERB,24267725,36
vertu,NOUN,24266278,2
conscience,NOUN,24255404,2
voix,NOUN,24229318,1
institution,NOUN,24196409,2
rendu,NOUN,24181030,2
perdre,VERB,24169819,36
devenir,ADJ,24148370,4
nécessiter,ADJ,24131734,4
router,VERB,24128932,36
route,NOUN,24115285,2
tirer,VERB,24112009,36
noir,NOUN,24105270,4
traire,ADJ,24102534,4
avantager,VERB,24096624,36
officier,NOUN,24096290,4
février,NOUN,24089426,2
inférieur,NOUN,24078291,4
signer,VERB,24067063,36
social,NOUN,24037214,1
gauche,NOUN,23979684,2
fixer,VERB,23977460,36
changer,VERB,23971304,36
avantage,NOUN,23950897,2
tendre,VERB,23944380,36
soumettre,VERB,23926006,36
retrouver,VERB,23895245,36
malgré,ADP,23851346,1
évolution,NOUN,23842864,2
tomber,VERB,23835195,36
nécessité,NOUN,23798398,2
comprendre,ADJ,23780968,3
territoire,NOUN,23776163,2
terrain,NOUN,23715083,2
essentiel,ADJ,23659965,4
masser,VERB,23647631,36
modeler,VERB,23606971,36
industriel,NOUN,23592779,4
dépenser,VERB,23564460,36
placer,ADJ,23488633,4
central,NOUN,23463096,4
considérer,ADJ,23462049,4
historique,ADJ,23457844,2
historique,NOUN,23457844,2
masse,NOUN,23431573,2
propos,NOUN,23430723,1
chrétien,NOUN,23418837,4
nuit,NOUN,23407913,2
mémoire,NOUN,23406913,2
exercer,VERB,23371090,36
moderne,NOUN,23361821,2
puisque,SCONJ,23326422,2
étendre,ADJ,23317484,4
ordinaire,NOUN,23309632,2
province,NOUN,23263462,2
autour,NOUN,23126514,2
modèle,NOUN,23126508,2
autour,ADV,23101170,1
aller,NOUN,23094412,2
entrer,ADJ,23031192,4
compléter,VERB,23022517,47
profond,NOUN,22947248,4
succès,NOUN,22942122,1
déterminer,VERB,22914595,36
troupe,NOUN,22906052,2
citer,ADJ,22879338,4
gros,NOUN,22756449,3
conserver,VERB,22756135,36
déclarer,VERB,22732814,36
aspect,NOUN,22721766,2
arme,NOUN,22708505,2
faveur,NOUN,22704761,2
double,ADJ,22704210,2
double,NOUN,22704210,2
revenir,ADJ,22666757,4
obtenir,ADJ,22641475,4
large,ADJ,22623981,2
frère,NOUN,22608911,2
appliquer,VERB,22596316,36
publier,ADJ,22592384,4
preuve,NOUN,22557001,2
observer,VERB,22540018,36
particulièrement,ADV,22505990,1
jugement,NOUN,22505478,2
réserver,VERB,22499785,36
poser,VERB,22480030,36
combattre,VERB,22416504,36
sang,NOUN,22395745,2
égal,NOUN,22374921,4
contrôler,VERB,22330015,36
convenir,VERB,22312706,36
venir,ADJ,22268089,4
arrêter,VERB,22196133,36
arrêter,ADJ,22136144,4
adresser,VERB,22111256,36
feu,NOUN,22105298,2
détail,NOUN,22087176,2
exprimer,VERB,22051986,36
dépense,NOUN,22049368,2
empêcher,VERB,22046304,36
monter,VERB,22043259,36
proposition,NOUN,22025292,2
troisième,NOUN,21999665,2
ouvrir,VERB,21992997,34
département,NOUN,21914691,2
connu,NOUN,21839984,2
duc,NOUN,21830461,2
discourir,VERB,21792902,36
avancer,VERB,21777972,36
réduire,VERB,21768924,36
église,NOUN,21754001,2
habitant,NOUN,21733769,4
comte,NOUN,21733355,4
revenu,NOUN,21723136,2
saurer,VERB,21703154,36
commission,NOUN,21641578,2
pur,NOUN,21611623,4
progrès,NOUN,21607218,1
montre,NOUN,21589450,2
frais,ADJ,21574600,5
regarder,VERB,21561636,36
discours,NOUN,21531700,1
passe,NOUN,21515951,2
zoner,VERB,21505673,36
constater,VERB,21494622,36
campagne,NOUN,21458528,2
utile,ADJ,21427199,2
acide,ADJ,21367504,2
acide,NOUN,21367504,2
exécution,NOUN,21344539,2
risquer,VERB,21330746,36
matériel,NOUN,21303016,4
tribunal,NOUN,21300842,2
valoir,VERB,21294885,40
zone,NOUN,21283946,2
imposer,VERB,21252196,36
traitement,NOUN,21250945,2
pourtant,ADV,21228684,1
décret,NOUN,21199507,2
vouloir,ADJ,21182286,4
citoyen,NOUN,21176137,4
mériter,VERB,21157376,36
payer,VERB,21156427,50
composer,ADJ,21143829,4
composé,NOUN,21143829,4
ouvrir,ADJ,21140622,4
soumettre,ADJ,21136017,3
soumis,NOUN,21136017,3
couleur,NOUN,21097537,2
juste,NOUN,21048437,2
création,NOUN,21038054,2
personnel,NOUN,21006608,2
appeler,ADJ,21002433,4
appelé,NOUN,21002433,4
travailler,VERB,20975461,36
événement,NOUN,20972099,2
réunir,VERB,20967520,29
professeur,NOUN,20924415,4
créer,VERB,20922046,36
vol,NOUN,20880671,2
chapitrer,VERB,20879727,36
chapitre,NOUN,20862345,2
choix,NOUN,20852693,1
changement,NOUN,20847522,2
lutte,NOUN,20837076,2
dû,NOUN,20825502,1
réponse,NOUN,20799190,2
présenter,ADJ,20780313,4
programmer,VERB,20779930,36
retour,NOUN,20773797,2
suivre,ADJ,20749010,4
vos,DET,20728556,1
presser,VERB,20695252,36
attention,NOUN,20653806,2
vis,NOUN,20636613,1
programme,NOUN,20610252,2
former,ADJ,20517033,4
court,ADJ,20504811,4
coucher,VERB,20391946,36
forte,ADV,20379538,1
forte,NOUN,20379538,1
consister,VERB,20304561,37
américain,NOUN,20254270,4
traiter,VERB,20229993,36
communication,NOUN,20222238,2
préciser,VERB,20208563,36
avis,NOUN,20142945,1
supposer,VERB,20113381,36
intéresser,VERB,20093790,36
distinguer,VERB,20087684,36
pauvre,NOUN,20079955,2
commander,VERB,20053864,36
représentant,NOUN,20041056,4
formuler,VERB,19985999,36
employer,VERB,19982707,36
procédé,NOUN,19980369,2
impossible,ADJ,19945389,2
signe,NOUN,19920782,2
erreur,NOUN,19914051,2
agricole,ADJ,19904361,2
attaquer,VERB,19895339,36
métrer,VERB,19887490,47
apporter,VERB,19851327,36
chiffrer,VERB,19848444,36
section,NOUN,19812516,2
durée,NOUN,19810460,2
scientifique,NOUN,19791464,2
bord,NOUN,19788295,2
voisin,NOUN,19775579,4
courant,ADP,19774044,1
examen,NOUN,19763640,2
physique,NOUN,19761813,2
village,NOUN,19750779,2
chambrer,VERB,19735350,36
accorder,VERB,19731900,36
voyager,VERB,19725367,37
chambre,NOUN,19722168,2
heureux,NOUN,19705021,3
