GRAPH,NORM,TAG
blouson de cuir,,NOUN
blue jeans,,NOUN
blue note,,NOUN
boîte aux lettres,,NOUN
bombe atomique,,NOUN
bon cœur,,NOUN
bon Dieu,,EXCL
bon goût,,NOUN
bon gré,,NOUN
bon gré mal gré,,ADV
bon marché,,ADJ
bon point,,NOUN
bon sens,,NOUN
bon vieux temps,,NOUN
bonne conscience,,NOUN
bonne femme,,NOUN
bonne foi,,NOUN
bonne fortune,,NOUN
bonne humeur,,NOUN
bonne manière,,NOUN
bonne part,,NOUN
bonne volonté,,NOUN
bonnes volontés,bonne volonté,NOUN
bonnes gens,,NOUN
bordel de merde,,EXCL
bouche bée,,NOUN
bouton d'or,,NOUN
bras dessus bras dessous,,ADV
brown sugar,,NOUN
bubble gum,,NOUN
buen retiro,,NOUN
Bureau international d'Éducation,BIE,
Bureau international d'Education,BIE,
Bureau international d'éducation,BIE,
by night,,ADJ
c'est-à-dire,c'est-à-dire,ADVconj
c'est à dire,c'est-à-dire,ADVconj
cabinet de toilette,,NOUN
cadre général,,NOUN
café au lait,,NOUN
cage d'escalier,,NOUN
call girl,,NOUN
call girls,,NOUN
canadian river,,NOUN
caput mortuum,,NOUN
carte postale,,NOUN
cartes postales,carte postale,NOUN
cas limite,,NOUN
cas général,,NOUN
cas particulier,,NOUN
cas particuliers,cas particulier,NOUN
casus belli,,NOUN
cause finale,,NOUN
causes finales,cause finale,NOUN
ce dernier,,PRONindef
cela supposé,,ADP
celle ci,celle-ci,
celle là,celle-là,
celle-ci,,PRONdem
celle-là,,PRONdem
celui ci,celui-ci,
celui là,celui-là,
celui-ci,,PRONdem
celui-là,,PRONdem
centrale nucléaire,,NOUN
centrales nucléaires,centrale nucléaire,NOUN
cependant que,,SCONJ
ces derniers,,PRONindef
c'est-à-dire,,NOUN
cette dernière,,PRONindef
cette fois ci,,ADVconj
cette fois là,,ADVconj
cette fois où,,CCONJ
cette fois-ci,cette fois ci,
cette fois-là,cette fois ci,
ceux ci,ceux-ci,
ceux là,ceux-là,
chambre à coucher,,NOUN
Chambre des députés,,NOUN
champ de bataille,,NOUN
chapeau haut de forme,,NOUN
chaque fois,,ADV
chaque fois que,,SCONJ
check up,,NOUN
chef d'entreprise,,NOUN
chef d'État,,NOUN
chef d'état,chef d'État,
chef de l'État,chef d'État,
chefs d'État,chef d'État,NOUN
chefs d'état,chefs d'État,
chefs de l'État,chefs d'État,
chef d'oeuvre,chef-d'œuvre,
chef d'œuvre,chef-d'œuvre,
chef-d'oeuvre,chef-d'œuvre,
chef-d'œuvre,,NOUN
chefs d'oeuvre,chef-d'œuvre,NOUN
chefs d'œuvre,chef-d'œuvre,chefs-d'œuvre,NOUN
chefs-d'oeuvre,chef-d'œuvre,chefs-d'œuvre,NOUN
chefs-d'œuvre,chef-d'œuvre,chefs-d'œuvre,NOUN
chemin de fer,,NOUN
chemin de fer d'intérêt local,,NOUN
chemins de fer,chemin de fer,NOUN
chemise de nuit,,NOUN
chewing gum,,NOUN
chien de fusil,,NOUN
chop suey,,NOUN
chute libre,,NOUN
citizen band,,NOUN
clair de lune,,NOUN
clin d'œil,,NOUN
coffee shop,,NOUN
coin de l'oeil,,NOUN
coin de l'œil,,NOUN
comic book,,NOUN
comic books,,NOUN
commedia dell'arte,,NOUN
compte tenu de,,ADP
conférence de presse,,NOUN
Conférence internationale,,NOUN
conférence nternationale,Conférence internationale,
conformément à,,ADP
connaissance de cause,,NOUN
conscience morale,,NOUN
conseil d'administration,,NOUN
Conseil d'État,,NOUN
conseil d'Etat,Conseil d'État,
conseil d'etat,Conseil d'État,
conseil d'état,Conseil d'État,
conseil général,,NOUN
conseiller général,,NOUN
conséquemment à,,ADP
contrairement à,,ADP
corn flakes,,NOUN
corps de garde,,NOUN
côte à côte,,ADV
coup d'épée,,NOUN
coup d'oeil,,NOUN
coup d'œil,,NOUN
coup de balai,,NOUN
coup de bâton,,NOUN
coup de feu,,NOUN
coup de foudre,,NOUN
coup de fil,,NOUN
coup de fusil,,NOUN
coup de main,,NOUN
coup de pied,,NOUN
coup de pistolet,,NOUN
coup de poing,,NOUN
coup de vent,,NOUN
coup sur coup,,ADV
coups d'épée,,NOUN
coups d'oeil,,NOUN
coups d'œil,,NOUN
coups de balai,coup de balai,NOUN
coups de bâton,coup de bâton,NOUN
coups de feu,,NOUN
coups de fusil,coup de fusil,NOUN
coups de main,,NOUN
coups de pied,,NOUN
coups de pistolet,,NOUN
coups de poings,,NOUN
coups de vent,,NOUN
coups et blessures,,NOUN
coups et blessures aggravés,,NOUN
cour d'assises,,NOUN
Cour suprême,,PROPNorg
cour suprême,Cour suprême,
courrier électronique,,NOUN
cri de joie,,NOUN
critique d'art,,NOUN
culture générale,,NOUN
curriculum vitae,,NOUN
d'abord,,ADVconj
d'accord,,ADVconj
d'ailleurs,,ADV
d'autant que,,CCONJ
d'autre part,,ADVconj
d'autres,,PRONindef
d'emblée,,ADV
d'ordre général,,ADJ
d'ores et déjà,,ADVconj
d'un autre côté,,ADP
d'un seul coup,,ADVconj
d'une part,,ADVconj
d'après,,ADP
d'au milieu de,,ADP
d'avec,,ADP
d'entre,,ADP
d'ici,,ADP
dame patronnesse,,NOUN
dames patronnesses,,NOUN
dans l'optique de,,ADP
dans la crainte de,,ADP
dans la merde,,ADV
dans une certaine mesure,,ADV
dans une large mesure,,ADV
dans la mesure où,,ADVconj
dans la plupart des cas,,ADV
dans le moment où,,ADP
dans le moment que,,ADP
dans le viseur de,,ADP
dans l'état actuel,,ADVconj
dare dare,,ADV
de amicis,,NOUN
de auditu,,ADV
de bon cœur,,ADV
de bonne heure,,ADVasp
de crainte de,,ADP
de façon à,,ADP
de façon générale,,ADV
de facto,,ADV
de guingois,,ADV
de haut en bas,,ADV
de la part de,,ADP
de la manière suivante,,ADV
de long en large,,ADV
de manière à,,ADP
de manière générale,,ADV
de même,,ADV
de même que,,CCONJ
demi-siècle,,NOUN
demi siècle,demi-siècle,
demi-siècles,demi-siècle,NOUN
demi siècles,demi-siècles,
de mon côté,,ADP
de niveau avec,,ADP
de nouveau,,ADV
de par,,ADP
de parmi,,ADP
de peur de,,ADP
de plano,,ADV
de plein gré,,ADV
de plus,,ADVconj
de plus en plus,,ADV
de préférence à,,ADP
de prime abord,,ADV
de profundis,,NOUN
de santis,,NOUN
de sorte que,,SCONJ
de temps en temps,,ADVasp
de toutes parts,,ADV
de traviole,,ADV
de visu,,ADV
défense de,,ADP
défini sur,,ADP
delirium tremens,,NOUN
demander pardon,,VERB
dernier soupir,,NOUN
des fois que,,SCONJ
dès lors,,ADVconj
dès lors que,,SCONJ
dès que,,SCONJ
deus ex machina,,NOUN
deux fois,,ADVconj
deux fois par an,,ADV
deux fois par mois,,ADV
deux fois par semaine,,ADV
devant notaire,,ADP
devoir dire,,VERB
dies irae,,NOUN
Dieu sait,,ADP
dîner en ville,,NOUN
directeur général,,NOUN
direction générale,,NOUN
disque dur,,NOUN
donner lieu,,VERB
donner l'ordre,,VERB
donner l'impression,,VERB
donner la main,,VERB
drelin drelin,,EXCL
droit d'ainesse,,NOUN
droits de l'homme,,NOUN
Droits de l'homme,droits de l'homme,
du côté de,,ADP
du fait même que,,SCONJ
du fait que,,SCONJ
du fond du cœur,,ADV
du haut en bas,,ADV
du même coup,,ADP
du milieu de,,ADP
d'une manière générale,,ADV
du point de vue,,ADV
du reste,,ADVconj
du seul fait que,,SCONJ
du tac au tac,,ADV
du temps que,,ADP
du vivant de,,ADP
eau minérale,,NOUN
ecce homo,,ADV
éclat de rire,,NOUN
éclater de rire,,VERB
éclats de rire,éclat de rire,NOUN
École polytechnique,École Polytechnique,
École Polytechnique,,NOUN
école primaire,,NOUN
écoles primaires,école primaire,NOUN
États-Unis d'Amérique,États-Unis,
empreinte digitale,,NOUN
empreintes digitales,empreinte digitale,NOUN
en amont de,,ADP
en apparence,,ADVconj
en arrière,,ADV
en arrière de,,ADP
en aval de,,ADP
en avant de,,ADP
en bas,,ADV
en bonne voie,,ADV
en catimini,,ADV
en ce qui concerne,,ADP
en compagnie de,,ADP
en comparaison de,,ADP
en conformité de,,ADP
en connaissance de cause,,ADV
en conséquence de,,ADP
en considération de,,ADP
en cours de route,,ADV
en d'autres termes,,ADVconj
en deçà,,ADV
en deçà de,,ADP
en définitive,,ADV
en dehors de,,ADVconj
en dernier lieu,,ADVconj
en dépit de,,ADP
en dessous,,ADP
en effet,,ADVconj
en exécution de,,ADP
en face,,ADV
en face de,,ADP
en fait de,,ADP
en faveur de,,ADV
en filigrane,,ADV
en fin de compte,,ADV
en fonction de,,ADP
# en forme, # je m'en forme une idée,ADV
en forme de,,ADP
en friche,,ADJ
en général,,ADV
en grande partie,,ADV
en guise de,,ADP
en haut,,ADV
en lieu et place de,,ADP
en loucedé,,ADV
en marge,,ADV
en marge de,,ADP
en matière de,,ADP
en même temps,,ADV
en même temps que,,ADP
en mémoire de,,ADP
en ordre inverse,,ADV
en outre,,ADVconj
en partant,,ADV
en particulier,,ADV
en passant,,ADV
en passe de,,ADP
en permanence,,ADV
en plein,,ADV
en pleine,en plein,ADV
en plein essor,,ADV
en plein jour,,ADV
en pleine connaissance de cause,,ADV
en premier lieu,,ADVconj
en présence,,ADV
en présence de,,ADP
en proie à,,ADP
en quelque sorte,,ADV
en raison de,,ADP
en réalité,,ADVconj
en regard de,,ADP
en retour,,ADV
en revanche,,ADVconj
en second lieu,,ADVconj
en sens contraire,,ADV
en sorte que,,SCONJ
en soi,,ADV
en somme,,ADVconj
en sus,,ADV
en sus de,,ADP
en tapinois,,ADV
en tant que,,CCONJ
en terme de,,ADP
en tous cas,,ADVconj
en train de,,ADV
en troisième lieu,,ADVconj
en vain,,ADV
en vérité,,ADV
en vertu de,,ADP
en vigueur,,ADV
en vue de,,ADP
encore une fois,,ADVconj
enfant de choeur,enfant de chœur,
enfant de chœur,,NOUN
enfants de choeur,enfants de chœur,
enfants de chœur,enfant de chœur,NOUN
en règle générale,,ADV
enseignement primaire,,NOUN
enseignement secondaire,,NOUN
entenant de,,ADP
entendre parler,,VERB
entrer en ligne de compte,,VERB
espèce humaine,,NOUN
est-ce que,,ADV
et caetera,etc.,
et cætera,etc.,
et cetera,etc.,
et seq,,ADV
étant donné,,ADP
état civil,,NOUN
état d'âme,,NOUN
état d'esprit,,NOUN
état d'exception,,NOUN
état de choses,,NOUN
état de fait,,NOUN
état de grâce,,NOUN
état de nature,,NOUN
état de siège,,NOUN
être parti,partir,VERB
être partis,partir,VERB
être partie,partir,VERB
être parties,partir,VERB
être tenu,être tenu,VERB
être tenus,être tenu,VERB
être tenue,être tenu,VERB
être tenues,être tenu,VERB
être vivant,être vivant,NOUN
êtres vivants,être vivant,NOUN
eu égard à,,ADP
ex abrupto,,ADV
ex nihilo,,ADV
expérience intérieure,,NOUN
face à,,ADP
face à face,,NOUN
faire abstraction,,VERB
faire face,,VERB
faire grief,,VERB
faire mine,,VERB
faire place,,VERB
faire partie,,VERB
faire semblant,,VERB
fast food,,NOUN
faute de,,ADP
fauteuil roulant,,NOUN
faux monnayeurs,,NOUN
femme de chambre,,NOUN
femmes de chambre,femme de chambre,NOUN
five o'clock,,NOUN
flatus vocis,,NOUN
fond de l'âme,,NOUN
foreign office,,NOUN
fort bien,,ADV
free jazz,,NOUN
fur et à mesure,,NOUN
garde champêtre,,NOUN
garde du corps,,NOUN
garde du roi,,NOUN
garde national,,NOUN
garde nationale,,NOUN
gardes du corps,garde du corps,NOUN
gardes du roi,garde du roi,NOUN
gardes nationaux,,NOUN
gare centrale,,NOUN
général en chef,,NOUN
gengis khan,,NOUN
genre humain,,NOUN
gens du monde,,NOUN
géométrie projective,,NOUN
girl friend,,NOUN
goutte à goutte,,ADV
gouverneur général,,NOUN
grâce à,,ADP
grâces à,,ADP
grain de beauté,,NOUN
grand chose,grand-chose,
grand dieu,,NOUN
grand mère,grand-mère,
grand oncle,grand-oncle,
grand père,grand-père,
grand seigneur,,NOUN
grand'chose,grand-chose,
grand'mère,grand-mère,
grand'père,grand-père,
grand'tante,,NOUN
grands dieux,,NOUN
grands seigneurs,grand seigneur,NOUN
gratis pro deo,,ADV
grève générale,,NOUN
grosso modo,,ADV
guerre civile,,NOUN
guerre mondiale,,NOUN
guerres mondiales,guerre mondiale,NOUN
happy end,,NOUN
happy ends,,NOUN
happy few,,NOUN
hard edge,,NOUN
has been,,NOUN
haut de forme,haut-de-forme,
haut fait,,NOUN
haut rang,,NOUN
haut-de-forme,,NOUN
haute vertu,,NOUN
hauts faits,haut fait,NOUN
hay hay,,EXCL
hi hi,,EXCL
hi hi hi,,EXCL
hi hi hi hi,,EXCL
hic et nunc,,ADV
high life,,NOUN
high tech,,ADJ
histoire naturelle,,NOUN
hold up,,NOUN
homme d'affaires,,NOUN
homme d'état,homme d'État,NOUN
homme d'État,,NOUN
hommes d'état,homme d'État,hommes d'État,NOUN
hommes d'État,homme d'État,NOUN
homo erectus,,NOUN
homo habilis,,NOUN
hong kong,,NOUN
honnête homme,,NOUN
honnêtes gens,,NOUN
honoris causa,,ADV
hors de,,ADP
hot dog,,NOUN
hot dogs,,NOUN
hôtel de police,,NOUN
hôtel de ville,,NOUN
house music,,NOUN
il était une fois,,ADV
il être possible que,,ADP
il n'empêche que,,ADP
il n'en reste pas moins que,,ADP
il pourrait bien se faire que,,ADP
il se pourrait que,,ADP
il serait possible que,,ADP
il y a,il y a,VERBaux
il y avoir,il y a,VERBaux
il y avait,il y a,VERBaux
il y aura,il y a,VERBaux
il y a eut,il y a,VERBaux
in absentia,,ADV
in abstracto,,ADV
in anima vili,,ADV
in cauda venenum,,ADV
in extenso,,ADV
in extremis,,ADV
in illo tempore,,ADP
in memoriam,,ADV
in pace,,NOUN
in petto,,ADV
in utero,,ADV
in utero,,ADJ
in vino veritas,,ADV
in vitro,,ADV
in vitro,,ADJ
in vivo,,ADV
inspecteur de police,,NOUN
instruction publique,,NOUN
intérêt général,,NOUN
intra muros,,ADV
invisible piston,,NOUN
ipso facto,,ADV
irish coffee,,NOUN
ite missa est,,NOUN
jet society,,NOUN
jeune fille,,NOUN
jeunes filles,jeune fille,NOUN
jeune homme,,NOUN
jeunes hommes,jeune homme,NOUN
jeunes gens,,NOUN
jouer le rôle de,,VERB
jouer un rôle,,VERB
jour après jour,,ADV
jour de l'an,,NOUN
juge d'instruction,,NOUN
juge de paix,,NOUN
jusqu'à ce que,,SCONJ
jusqu'à la fin,,ADP
jusqu'à nouvel ordre,,ADV
jusqu'au bout,,ADV
jusqu'ici,,ADV
jusques à,,ADP
jusques et y compris,,ADP
juste ciel,,NOUN
juste ciel,,EXCL
Juste ciel,,EXCL
justice distributive,,NOUN
justice rétributive,,NOUN
kung fu,,NOUN
kyrie eleison,,NOUN
l'un,,PRONindef
l'une,,PRONindef
l'autre,,PRONindef
la dernière,,PRONindef
la fois où,,SCONJ
la mienne,,PRONprs
langue française,,NOUN
la plata,,NOUN
la plupart,,PRONindef
la plupart de,,DETindef
la première fois,,ADV
la sienne,,PRONprs
la tienne,,PRONprs
lacryma christi,,NOUN
laisser passer,,VERB
laisser tomber,,VERB
langue vivante,,NOUN
le bon Dieu,Dieu,PROPNgod
le dernier,,PRONindef
le diable soit de,,ADP
le long de,,ADP
le mien,,PRONprs
le moment venu,,ADVconj
le nôtre,,PRONprs
le sien,,PRONprs
le tien,,PRONprs
le vôtre,,PRONprs
légion d'honneur,,NOUN
les fois où,,SCONJ
les fois que,,SCONJ
les miennes,,PRONprs
les miens,,PRONprs
les nôtres,,PRONprs
les siennes,,PRONprs
les siens,,PRONprs
les tiennes,,PRONprs
les tiens,,PRONprs
les vôtres,,PRONprs
libre arbitre,,NOUN
lieutenant de police,,NOUN
ligne de compte,,NOUN
lieu-commun,lieu commun,
lieu commun,,NOUN
lieux communs,lieu commun,NOUN
lieux-communs,lieux communs,
lit de sangle,,NOUN
livre sterling,,NOUN
livres de rente,,NOUN
livres sterling,livre sterling,NOUN
loc. cit.,,NOUN
loin de,,ADP
loi naturelle,,NOUN
loi physique,,NOUN
lois physiques,loi physique,NOUN
lois naturelles,,NOUN
long terme,,NOUN
lors de,,ADP
lutte des classes,,NOUN
machine à vapeur,,NOUN
made in,,ADV
madre de dios,,NOUN
maison d'édition,,NOUN
maison d'arrêt,,NOUN
maison de campagne,,NOUN
maison de passe,,NOUN
maisons de passe,,NOUN
maître d'école,,NOUN
maître d'hôtel,,NOUN
maître de maison,,NOUN
maître de poste,,NOUN
maître des requêtes,,NOUN
maître queux,,NOUN
maîtresse de maison,,NOUN
mal à l'aise,,ADJ
malade mental,,NOUN
maladie mentale,,NOUN
malgré tout,,ADVconj
manque de,,ADP
manu militari,,ADV
marchand de vin,,NOUN
marchands de vin,,NOUN
maréchal des logis,,NOUN
maréchal des logis-chef,,NOUN
mass media,,NOUN
mater dolorosa,,NOUN
mauvais goût,,NOUN
mauvais sort,,NOUN
mauvaise conscience,,NOUN
mauvaise foi,,NOUN
mauvaise grâce,,NOUN
mauvaise humeur,,NOUN
maux de tête,,NOUN
mea culpa,,NOUN
M elle,Melle,
mécanique classique,,NOUN
melting pot,,NOUN
même quand,,SCONJ
même si,,SCONJ
mètres carrés,,NOUN
mettre en doute,,VERB
mettre en examen,,VERB
mettre en exergue,,VERB
mettre en forme,,VERB
mettre en garde,,VERB
mettre en lumière,,VERB
mettre en œuvre,,VERB
mettre en peine,,VERB
mettre en question,,VERB
mettre la table,,VERB
mezza voce,,ADV
middle class,,NOUN
milk shake,,NOUN
ministère public,,NOUN
ministre de l'Intérieur,,NOUN
ministre de l'intérieur,ministre de l'Intérieur,
ministre de la guerre,,NOUN
ministre de la justice,,NOUN
ministre des affaires étrangères,Ministre des Affaires étrangères,
ministre des Affaires étrangères,Ministre des Affaires étrangères,
Ministre des Affaires étrangères,,NOUN
ministère des affaires étrangères,ministère des Affaires étrangères,
Ministère des Affaires étrangères,ministère des Affaires étrangères,
ministère des Affaires étrangères,,NOUN
ministre des finances,ministre des Finances,
ministre des Finances,,NOUN
minus habens,,NOUN
mise en cause,,NOUN
mise en oeuvre,mise en œuvre,
mise en œuvre,,NOUN
mise en ordre,,NOUN
mise en place,,NOUN
mise en question,,NOUN
M lle,Melle,
mode de vie,,NOUN
modes de vie,mode de vie,NOUN
modern style,,NOUN
modern style,,ADJ
modus operandi,,NOUN
modus vivendi,,NOUN
mon Dieu,,EXCL
monde entier,,NOUN
mot d'ordre,,NOUN
mots d'ordre,mot d'ordre,NOUN
motu proprio,,ADV
Moyen Age,Moyen-Âge,
moyen age,Moyen-Âge,
Moyen Âge,Moyen-Âge,
moyen âge,Moyen-Âge,
moyen-âge,Moyen-Âge,
Moyen-Âge,,NOUN
moyen terme,,NOUN
music hall,,NOUN
mutatis mutandis,,ADV
nécessité morale,,NOUN
nécessités morales,nécessité morale,NOUN
n'est ce pas,n'est-ce pas,
n'est ce pas,n'est-ce pas,
n'est-ce pas,,ADV
n'est-ce pas,,ADV
n'importe qui,,PRONindef
n'importe quoi,,PRONindef
n'empêche que,,ADP
ne varietur,,ADV
negro spiritual,,NOUN
negro spirituals,,NOUN
nerf de bœuf,,NOUN
new wave,,NOUN
night club,,NOUN
nihil obstat,,ADV
niveau de vie,,NOUN
no man's land,,NOUN
no man's land,,NOUN
non content de,,ADP
non plus que,,ADP
non sans,,ADP
non seulement,,ADV
non troppo,,ADV
nota bene,,ADV
nulle part,,ADV
numéro de immatriculation,,NOUN
numéro de téléphone,,NOUN
numerus clausus,,NOUN
obligation morale,,NOUN
oeuvre d'art,,NOUN
œuvre d'art,,NOUN
œuvre d'art,,NOUN
œuvres d'art,,NOUN
off the record,,ADV
officier de la légion d'honneur,,NOUN
Oh ! ciel,,EXCL
olla podrida,,NOUN
ONU,,PROPNorg
op. cit.,,NOUN
opinion publique,,NOUN
ordinateur de poche,,NOUN
ordinateur portable,,NOUN
ordre moral,,NOUN
Organisation des Nations Unies,ONU,
Nations Unies,ONU,
nature humaine,,NOUN
osso buco,,NOUN
ou bien,,CCONJ
ouvr. cit.,,NOUN
p. NUM,,PUN
pan bagnat,,NOUN
par accident,,ADV
par ailleurs,,ADV
par certains côtés,,ADP
par comparaison,,ADV
par comparaison à,par comparaison à,ADP
par comparaison au,par comparaison à,ADP
par comparaison aux,par comparaison à,ADP
par conséquent,,CCONJ
par crainte de,,ADP
par delà,,ADP
par derrière,par-derrière,
par devant,par-devant,
par-devant notaire,,ADP
par devers,,ADP
par dessous,par-dessous,
par dessus,par-dessus,
par définition,,ADV
par écrit,,ADV
par essence,,ADV
par excellence,,ADV
par exemple,,ADV
par hasard,,ADV
par là,,ADV
par l'intermédiaire de,,ADP
par manque de,,ADP
par mégarde,,ADV
par opposition à,par opposition à,ADP
par opposition au,par opposition à,ADP
par opposition aux,par opposition à,ADP
par préférence à,par préférence à,ADP
par préférence au,par préférence à,ADP
par préférence aux,par préférence à,ADP
par rapport à,par rapport à,ADP
par rapport au,par rapport à,ADP
par rapport aux,par rapport à,ADP
par suite,,ADVconj
par suite de,,ADP
par surcroît,,ADVdeg
parce que,,SCONJ
parole d'honneur,,NOUN
part time,,NOUN
parti pris,parti-pris,
pas plus que,,ADP
pas plus tard que,,ADP
paso doble,,NOUN
pater familias,,NOUN
pater noster,,NOUN
pauvre diable,,NOUN
