GRAPH,TAG,LEM,ORTH
académie des sciences morales et politiques,,,Académie des Sciences morales et politiques
Académie des Sciences morales et politiques,NOUN,,
acid jazz,NOUN,,
acte sexuel,NOUN,,
actes sexuels,,,acte sexuel
action painting,NOUN,,
ad hoc,ADJ,,
administrateur général,NOUN,,
affaires étrangères,,,Affaires étrangères
Affaires étrangères,NOUN,,
afin de,PREP,,
afin que,SCONJ,,
after shave,NOUN,,
agent de change,NOUN,,
agents de change,NOUN,,
agnus dei,NOUN,,
aide de camp,NOUN,,
air bag,NOUN,,
aller aller,EXCL,,
aller droit,VERB,,
aller de soi,VERB,,
allez allez,EXCL,,
allons allons,EXCL,,
alors que,CONJcoord,,
alter ego,NOUN,,
Altesse,PROPNprs,,
Altesse Royale,PROPNprs,,
amour propre,NOUN,,
appareil photo,NOUN,,
après que,SCONJ,,
argent de poche,NOUN,,
arrêt maladie,NOUN,,
arrière-train,NOUN,,
assemblée générale,NOUN,,
au-dedans de,PREP,,
au-dessous de,PREP,,
aujourd'hui,ADVconj,,
au premier abord,ADV,,
auprès de,PREP,,
auquel cas,CONJcoord,,
au point de vue,ADV,,
au sens strict,ADV,,
aussi peu que,PREP,,
autour de,PREP,,
autre chose,NOUN,,
autre part,ADV,,
autrement dit,ADVconj,,
av. J.-C.,NUM,,
avant J.-C.,,,av. J.-C.
avant de,PREP,,
avant même que,SCONJ,,
avant que,SCONJ,,
avant que de,PREP,,
avocat général,NOUN,,
avoir l'air,VERB,,
avoir lieu,VERB,,
ayants droit,NOUN,,
back up,NOUN,,
bain de mer,NOUN,,
bains de mer,NOUN,,
bande à part,NOUN,,
bas de page,NOUN,,
bas ventre,,,bas-ventre
bas-ventre,NOUN,,
beat generation,NOUN,,
beau fils,,,beau-fils
beau frère,,,beau-frère
beau père,,,beau-père
beau temps,NOUN,,
beaucoup de,DETindef,,
beaux esprits,,,bel esprit
bec de gaz,NOUN,,
becs de gaz,NOUN,,
bel canto,NOUN,,
bel esprit,NOUN,,
belle fille,,,belle-fille
belle lurette,NOUN,,
belle mère,,,belle-mère
belle sœur,,,belle-sœur
best of,NOUN,,
bien entendu,ADV,,
bien loin de,PREP,,
bien que,SCONJ,,
bien sûr,ADV,,
big band,NOUN,,
big bang,NOUN,,
birth control,NOUN,,
bla bla,NOUN,,
bloody mary,NOUN,,
blouson de cuir,NOUN,,
blue jeans,NOUN,,
blue note,NOUN,,
boîte aux lettres,NOUN,,
bombe atomique,NOUN,,
bon cœur,NOUN,,
bon Dieu,EXCL,,
bon goût,NOUN,,
bon gré,NOUN,,
bon gré mal gré,ADV,,
bon marché,ADJ,,
bon point,NOUN,,
bon sens,NOUN,,
bon vieux temps,NOUN,,
bonne conscience,NOUN,,
bonne femme,NOUN,,
bonne foi,NOUN,,
bonne fortune,NOUN,,
bonne humeur,NOUN,,
bonne manière,NOUN,,
bonne part,NOUN,,
bonne volonté,NOUN,,
bonnes volontés,NOUN,bonne volonté,
bonnes gens,NOUN,,
bordel de merde,EXCL,,
bouche bée,NOUN,,
bouton d’or,NOUN,,
bras dessus bras dessous,ADV,,
brown sugar,NOUN,,
bubble gum,NOUN,,
buen retiro,NOUN,,
BIE,PROPNorg,,
Bureau international d’Éducation,,,BIE
Bureau international d’Education,,,BIE
Bureau international d’éducation,,,BIE
by night,ADJ,,
c'est-à-dire,ADVconj,c'est-à-dire,
c'est à dire,ADVconj,c'est-à-dire,
cabinet de toilette,NOUN,,
cadre général,NOUN,,
café au lait,NOUN,,
cage d’escalier,NOUN,,
call girl,NOUN,,
call girls,NOUN,,
canadian river,NOUN,,
caput mortuum,NOUN,,
carte postale,NOUN,,
cartes postales,NOUN,carte postale,,
cas limite,NOUN,,
cas général,NOUN,,
cas particulier,NOUN,,
cas particuliers,NOUN,cas particulier,
casus belli,NOUN,,
cause finale,NOUN,,
causes finales,NOUN,cause finale,
ce dernier,PROindef,,
cela supposé,PREP,,
celle ci,,,celle-ci
celle là,,,celle-là
celle-ci,PROdem,,
celle-là,PROdem,,
celui ci,,,celui-ci
celui là,,,celui-là
celui-ci,PROdem,,
celui-là,PROdem,,
centrale nucléaire,NOUN,,
centrales nucléaires,NOUN,centrale nucléaire,
cependant que,SCONJ,,
ces derniers,PROindef,,
cette dernière,PROindef,,
cette fois ci,ADVconj,,
cette fois là,ADVconj,,
cette fois où,CONJcoord,,
cette fois-ci,,,cette fois ci
cette fois-là,,,cette fois ci
ceux ci,,,ceux-ci
ceux là,,,ceux-là
chambre à coucher,NOUN,,
Chambre des députés,NOUN,,
champ de bataille,NOUN,,
chapeau haut de forme,NOUN,,
chaque fois,ADV,,
chaque fois que,SCONJ,,
check up,NOUN,,
chef d'entreprise,NOUN,,
chef d’État,NOUN,,
chef d’état,,,chef d’État
chef de l’État,,,chef d’État
chefs d’État,NOUN,chef d’État,
chefs d’état,,,chefs d’État
chefs de l’État,,,chefs d’État
chef d'oeuvre,,,chef-d'œuvre
chef d'œuvre,,,chef-d'œuvre
chef-d'oeuvre,,,chef-d'œuvre
chef-d'œuvre,NOUN,,
chefs d'oeuvre,NOUN,chef-d'œuvre,
chefs d'œuvre,NOUN,chef-d'œuvre,chefs-d'œuvre
chefs-d'oeuvre,NOUN,chef-d'œuvre,chefs-d'œuvre
chefs-d'œuvre,NOUN,chef-d'œuvre,chefs-d'œuvre
chemin de fer,NOUN,,
chemin de fer d'intérêt local,NOUN,,
chemins de fer,NOUN,chemin de fer,
chemise de nuit,NOUN,,
chewing gum,NOUN,,
chien de fusil,NOUN,,
chop suey,NOUN,,
chute libre,NOUN,,
citizen band,NOUN,,
clair de lune,NOUN,,
clin d'œil,NOUN,,
coffee shop,NOUN,,
coin de l’oeil,NOUN,,
coin de l’œil,NOUN,,
comic book,NOUN,,
comic books,NOUN,,
commedia dell'arte,NOUN,,
compte tenu de,PREP,,
conférence de presse,NOUN,,
Conférence internationale,NOUN,,
conférence nternationale,,,Conférence internationale
conformément à,PREP,,
connaissance de cause,NOUN,,
conscience morale,NOUN,,
conseil d'administration,NOUN,,
Conseil d'État,NOUN
conseil d'Etat,,,Conseil d'État
conseil d'etat,,,Conseil d'État
conseil d'état,,,Conseil d'État
conseil général,NOUN,,
conseiller général,NOUN,,
conséquemment à,PREP,,
contrairement à,PREP,,
corn flakes,NOUN,,
corps de garde,NOUN,,
côte à côte,ADV,,
coup d'épée,NOUN,,
coup d'oeil,NOUN,,
coup d'œil,NOUN,,
coup de balai,NOUN,,
coup de bâton,NOUN,,
coup de feu,NOUN,,
coup de foudre,NOUN,,
coup de fil,NOUN,,
coup de fusil,NOUN,,
coup de main,NOUN,,
coup de pied,NOUN,,
coup de pistolet,NOUN,,
coup de poing,NOUN,,
coup de vent,NOUN,,
coup sur coup,ADV,,
coups d'épée,NOUN,,
coups d'oeil,NOUN,,
coups d'œil,NOUN,,
coups de balai,NOUN,coup de balai
coups de bâton,NOUN,coup de bâton
coups de feu,NOUN,,
coups de fusil,NOUN,coup de fusil
coups de main,NOUN,,
coups de pied,NOUN,,
coups de pistolet,NOUN,,
coups de poings,NOUN,,
coups de vent,NOUN,,
coups et blessures,NOUN,,
coups et blessures aggravés,NOUN,,
cour d'assises,NOUN,,
Cour suprême,PROPNorg,,
cour suprême,,,Cour suprême
courrier électronique,NOUN,,
cri de joie,NOUN,,
critique d'art,NOUN,,
culture générale,NOUN,,
curriculum vitae,NOUN,,
d'abord,ADVconj,,
d'accord,ADVconj,,
d'ailleurs,ADV,,
d'autant que,CONJcoord,,
d'autre part,ADVconj,,
d'autres,PROindef,,
d'emblée,ADV,,
d'ordre général,ADJ,,
d'ores et déjà,ADVconj,,
d'un autre côté,PREP,,
d'un seul coup,ADVconj,,
d'une part,ADVconj,,
d’après,PREP,,
d’au milieu de,PREP,,
d’avec,PREP,,
d’entre,PREP,,
d’ici,PREP,,
dame patronnesse,NOUN,,
dames patronnesses,NOUN,,
dans l’optique de,PREP,,
dans la crainte de,PREP,,
dans la merde,ADV,,
dans une certaine mesure,ADV,,
dans une large mesure,ADV,,
dans la mesure où,ADVconj,,
dans la plupart des cas,ADV,,
dans le moment où,PREP,,
dans le moment que,PREP,,
dans le viseur de,PREP,,
dans l’état actuel,ADVconj,,
dare dare,ADV,,
de amicis,NOUN,,
de auditu,ADV,,
de bon cœur,ADV,,
de bonne heure,ADVasp,,
de crainte de,PREP,,
de façon à,PREP,,
de façon générale,ADV,,
de facto,ADV,,
de guingois,ADV,,
de haut en bas,ADV,,
de la part de,PREP,,
de la manière suivante,ADV,,
de long en large,ADV,,
de manière à,PREP,,
de manière générale,ADV,,
de même,ADV,,
de même que,CONJcoord,,
demi-siècle,NOUN,,
demi siècle,,,demi-siècle
demi-siècles,NOUN,demi-siècle,
demi siècles,,,demi-siècles
de mon côté,PREP,,
de niveau avec,PREP,,
de nouveau,ADV,,
de par,PREP,,
de parmi,PREP,,
de peur de,PREP,,
de plano,ADV,,
de plein gré,ADV,,
de plus,ADVconj,,
de plus en plus,ADV,,
de préférence à,PREP,,
de prime abord,ADV,,
de profundis,NOUN,,
de santis,NOUN,,
de sorte que,SCONJ,,
de temps en temps,ADVasp,,
de toutes parts,ADV,,
de traviole,ADV,,
de visu,ADV,,
défense de,PREP,,
défini sur,PREP,,
delirium tremens,NOUN,,
demander pardon,VERB,,
dernier soupir,NOUN,,
des fois que,SCONJ,,
dès lors,ADVconj,,
dès lors que,SCONJ,,
dès que,SCONJ,,
deus ex machina,NOUN,,
deux fois,ADVconj,,
deux fois par an,ADV,,
deux fois par mois,ADV,,
deux fois par semaine,ADV,,
devant notaire,PREP,,
devoir dire,VERB,,
dies irae,NOUN,,
Dieu sait,PREP,,
dîner en ville,NOUN,,
directeur général,NOUN,,
direction générale,NOUN,,
disque dur,NOUN,,
donner lieu,VERB,,
donner l'ordre,VERB,,
donner l’impression,VERB,,
donner la main,VERB,,
drelin drelin,EXCL,,
droit d’ainesse,NOUN,,
droits de l’homme,NOUN,,
Droits de l’homme,,,droits de l’homme
du côté de,PREP,,
du fait même que,SCONJ,,
du fait que,SCONJ,,
du fond du cœur,ADV,,
du haut en bas,ADV,,
du même coup,PREP,,
du milieu de,PREP,,
d'une manière générale,ADV,,
du point de vue,ADV,,
du reste,ADVconj,,
du seul fait que,SCONJ,,
du tac au tac,ADV,,
du temps que,PREP,,
du vivant de,PREP,,
eau minérale,NOUN,,
ecce homo,ADV,,
éclat de rire,NOUN,,
éclater de rire,VERB,,
éclats de rire,NOUN,éclat de rire
École polytechnique,,,École Polytechnique
École Polytechnique,NOUN,,
école primaire,NOUN,,
écoles primaires,NOUN,école primaire,
États-Unis d’Amérique,,,États-Unis,
empreinte digitale,NOUN,,
empreintes digitales,NOUN,empreinte digitale
en amont de,PREP,,
en apparence,ADVconj,,
en arrière,ADV,,
en arrière de,PREP,,
en aval de,PREP,,
en avant de,PREP,,
en bas,ADV,,
en bonne voie,ADV,,
en catimini,ADV,,
en ce qui concerne,PREP,,
en compagnie de,PREP,,
en comparaison de,PREP,,
en conformité de,PREP,,
en connaissance de cause,ADV,,
en conséquence de,PREP,,
en considération de,PREP,,
en cours de route,ADV,,
en d’autres termes,ADVconj,,
en deçà,ADV,,
en deçà de,PREP,,
en définitive,ADV,,
en dehors de,ADVconj,,
en dernier lieu,ADVconj,,
en dépit de,PREP,,
en dessous,PREP,,
en effet,ADVconj,,
en exécution de,PREP,,
en face,ADV,,
en face de,PREP,,
en fait de,PREP,,
en faveur de,ADV,,
en filigrane,ADV,,
en fin de compte,ADV,,
en fonction de,PREP,,
# en forme,ADV, # je m’en forme une idée,
en forme de,PREP,,
en friche,ADJ,,
en général,ADV,,
en grande partie,ADV,,
en guise de,PREP,,
en haut,ADV,,
en lieu et place de,PREP,,
en loucedé,ADV,,
en marge,ADV,,
en marge de,PREP,,
en matière de,PREP,,
en même temps,ADV,,
en même temps que,PREP,,
en mémoire de,PREP,,
en ordre inverse,ADV,,
en outre,ADVconj,,
en partant,ADV,,
en particulier,ADV,,
en passant,ADV,,
en passe de,PREP,,
en permanence,ADV,,
en plein,ADV,,
en pleine,ADV,en plein,
en plein essor,ADV,,
en plein jour,ADV,,
en pleine connaissance de cause,ADV,,
en premier lieu,ADVconj,,
en présence,ADV,,
en présence de,PREP,,
en proie à,PREP,,
en quelque sorte,ADV,,
en raison de,PREP,,
en réalité,ADVconj,,
en regard de,PREP,,
en retour,ADV,,
en revanche,ADVconj,,
en second lieu,ADVconj,,
en sens contraire,ADV,,
en sorte que,SCONJ,,
en soi,ADV,,
en somme,ADVconj,,
en sus,ADV,,
en sus de,PREP,,
en tapinois,ADV,,
en tant que,CONJcoord,,
en terme de,PREP,,
en tous cas,ADVconj,,
en train de,ADV,,
en troisième lieu,ADVconj,,
en vain,ADV,,
en vérité,ADV,,
en vertu de,PREP,,
en vigueur,ADV,,
en vue de,PREP,,
encore une fois,ADVconj,,
enfant de choeur,,,enfant de chœur
enfant de chœur,NOUN,,
enfants de choeur,,,enfants de chœur
enfants de chœur,NOUN,enfant de chœur,
en règle générale,ADV,,
enseignement primaire,NOUN,,
enseignement secondaire,NOUN,,
entenant de,PREP,,
entendre parler,VERB,,
entrer en ligne de compte,VERB,,
espèce humaine,NOUN,,
est-ce que,ADV,,
et caetera,,,etc.
et cætera,,,etc.
et cetera,,,etc.
et seq,ADV,,
étant donné,PREP,,
état civil,NOUN,,
état d’âme,NOUN,,
état d’esprit,NOUN,,
état d’exception,NOUN,,
état de choses,NOUN,,
état de fait,NOUN,,
état de grâce,NOUN,,
état de nature,NOUN,,
état de siège,NOUN,,
être parti,VERB,partir,
être partis,VERB,partir,
être partie,VERB,partir,
être parties,VERB,partir,
être tenu,VERB,être tenu,
être tenus,VERB,être tenu,
être tenue,VERB,être tenu,
être tenues,VERB,être tenu,
être vivant,NOUN,être vivant,
êtres vivants,NOUN,être vivant,
eu égard à,PREP,,
ex abrupto,ADV,,
ex nihilo,ADV,,
expérience intérieure,NOUN,,
face à,PREP,,
face à face,NOUN,,
faire abstraction,VERB,,
faire face,VERB,,
faire grief,VERB,,
faire mine,VERB,,
faire place,VERB,,
faire partie,VERB,,
faire semblant,VERB,,
fast food,NOUN,,
faute de,PREP,,
fauteuil roulant,NOUN,,
faux monnayeurs,NOUN,,
femme de chambre,NOUN,,
femmes de chambre,NOUN,femme de chambre,
five o'clock,NOUN,,
flatus vocis,NOUN,,
fond de l’âme,NOUN,,
foreign office,NOUN,,
fort bien,ADV,,
free jazz,NOUN,,
fur et à mesure,NOUN,,
garde champêtre,NOUN,,
garde du corps,NOUN,,
garde du roi,NOUN,,
garde national,NOUN,,
garde nationale,NOUN,,
gardes du corps,NOUN,garde du corps,
gardes du roi,NOUN,garde du roi,
gardes nationaux,NOUN,,
gare centrale,NOUN,,
général en chef,NOUN,,
gengis khan,NOUN,,
genre humain,NOUN,,
gens du monde,NOUN,,
géométrie projective,NOUN,,
girl friend,NOUN,,
goutte à goutte,ADV,,
gouverneur général,NOUN,,
grâce à,PREP,,
grâces à,PREP,,
grain de beauté,NOUN,,
grand chose,,,grand-chose
grand dieu,NOUN,,
grand mère,,,grand-mère
grand oncle,,,grand-oncle
grand père,,,grand-père
grand seigneur,NOUN,,
grand'chose,,,grand-chose
grand'mère,,,grand-mère
grand'père,,,grand-père
grand'tante,NOUN,,
grands dieux,NOUN,,
grands seigneurs,NOUN,grand seigneur,
gratis pro deo,ADV,,
grève générale,NOUN,,
grosso modo,ADV,,
guerre civile,NOUN,,
guerre mondiale,NOUN,,
guerres mondiales,NOUN,guerre mondiale,
happy end,NOUN,,
happy ends,NOUN,,
happy few,NOUN,,
hard edge,NOUN,,
has been,NOUN,,
haut de forme,,,haut-de-forme
haut fait,NOUN,,
haut rang,NOUN,,
haut-de-forme,NOUN,,
haute vertu,NOUN,,
hauts faits,NOUN,haut fait,
hay hay,EXCL,,
hi hi,EXCL,,
hi hi hi,EXCL,,
hi hi hi hi,EXCL,,
hic et nunc,ADV,,
high life,NOUN,,
high tech,ADJ,,
histoire naturelle,NOUN,,
hold up,NOUN,,
homme d’affaires,NOUN,,
homme d’état,NOUN,homme d’État,
homme d’État,NOUN,,
hommes d’état,NOUN,homme d’État,hommes d’État
hommes d’État,NOUN,homme d’État,
homo erectus,NOUN,,
homo habilis,NOUN,,
hong kong,NOUN,,
honnête homme,NOUN,,
honnêtes gens,NOUN,,
honoris causa,ADV,,
hors de,PREP,,
hot dog,NOUN,,
hot dogs,NOUN,,
hôtel de police,NOUN,,
hôtel de ville,NOUN,,
house music,NOUN,,
il était une fois,ADV,,
il être possible que,PREP,,
il n’empêche que,PREP,,
il n’en reste pas moins que,PREP,,
il pourrait bien se faire que,PREP,,
il se pourrait que,PREP,,
il serait possible que,PREP,,
il y a,VERBaux,il y a,
il y avoir,VERBaux,il y a,
il y avait,VERBaux,il y a,
il y aura,VERBaux,il y a,
il y a eut,VERBaux,il y a,
in absentia,ADV,,
in abstracto,ADV,,
in anima vili,ADV,,
in cauda venenum,ADV,,
in extenso,ADV,,
in extremis,ADV,,
in illo tempore,PREP,,
in memoriam,ADV,,
in pace,NOUN,,
in petto,ADV,,
in utero,ADV,,
in utero,ADJ,,
in vino veritas,ADV,,
in vitro,ADV,,
in vitro,ADJ,,
in vivo,ADV,,
inspecteur de police,NOUN,,
instruction publique,NOUN,,
intérêt général,NOUN,,
intra muros,ADV,,
invisible piston,NOUN,,
ipso facto,ADV,,
irish coffee,NOUN,,
ite missa est,NOUN,,
jet society,NOUN,,
jeune fille,NOUN,,
jeunes filles,NOUN,jeune fille,
jeune homme,NOUN,,
jeunes hommes,NOUN,jeune homme,
jeunes gens,NOUN,,
jouer le rôle de,VERB,,
jouer un rôle,VERB,,
jour après jour,ADV,,
jour de l'an,NOUN,,
juge d’instruction,NOUN,,
juge de paix,NOUN,,
jusqu'à ce que,SCONJ,,
jusqu'à la fin,PREP,,
jusqu'à nouvel ordre,ADV,,
jusqu’au bout,ADV,,
jusqu’ici,ADV,,
jusques à,PREP,,
jusques et y compris,PREP,,
juste ciel,NOUN,,
juste ciel,EXCL,,
Juste ciel,EXCL,,
justice distributive,NOUN,,
justice rétributive,NOUN,,
kung fu,NOUN,,
kyrie eleison,NOUN,,
l'un,PROindef,,
l'une,PROindef,,
l’autre,PROindef,,
la dernière,PROindef,,
la fois où,SCONJ,,
la mienne,PROprs,,
langue française,NOUN,,
la plata,NOUN,,
la plupart,PROindef,,
la plupart de,DETindef,,
la première fois,ADV,,
la sienne,PROprs,,
la tienne,PROprs,,
lacryma christi,NOUN,,
laisser passer,VERB,,
laisser tomber,VERB,,
le bon Dieu,PROPNgod,,
le dernier,PROindef,,
le diable soit de,PREP,,
le long de,PREP,,
le mien,PROprs,,
le moment venu,ADVconj,,
le nôtre,PROprs,,
le sien,PROprs,,
le tien,PROprs,,
le vôtre,PROprs,,
légion d'honneur,NOUN,,
les fois où,SCONJ,,
les fois que,SCONJ,,
les miennes,PROprs,,
les miens,PROprs,,
les nôtres,PROprs,,
les siennes,PROprs,,
les siens,PROprs,,
les tiennes,PROprs,,
les tiens,PROprs,,
les vôtres,PROprs,,
libre arbitre,NOUN,,
lieutenant de police,NOUN,,
ligne de compte,NOUN,,
lieu-commun,,,lieu commun
lieu commun,NOUN,,
lieux communs,NOUN,lieu commun,
lieux-communs,,,lieux communs
lit de sangle,NOUN,,
livre sterling,NOUN,,
livres de rente,NOUN,,
livres sterling,NOUN,livre sterling,
loc. cit.,NOUN,,
loin de,PREP,,
loi naturelle,NOUN,,
loi physique,NOUN,,
lois physiques,NOUN,loi physique,
lois naturelles,NOUN,,
long terme,NOUN,,
lors de,PREP,,
lutte des classes,NOUN,,
machine à vapeur,NOUN,,
made in,ADV,,
madre de dios,NOUN,,
maison d'édition,NOUN,,
maison d’arrêt,NOUN,,
maison de campagne,NOUN,,
maison de passe,NOUN,,
maisons de passe,NOUN,,
maître d'école,NOUN,,
maître d'hôtel,NOUN,,
maître de maison,NOUN,,
maître de poste,NOUN,,
maître des requêtes,NOUN,,
maître queux,NOUN,,
maîtresse de maison,NOUN,,
mal à l’aise,ADJ,,
malade mental,NOUN,,
maladie mentale,NOUN,,
malgré tout,ADVconj,,
manque de,PREP,,
manu militari,ADV,,
marchand de vin,NOUN,,
marchands de vin,NOUN,,
maréchal des logis,NOUN,,
maréchal des logis-chef,NOUN,,
mass media,NOUN,,
mater dolorosa,NOUN,,
mauvais goût,NOUN,,
mauvais sort,NOUN,,
mauvaise conscience,NOUN,,
mauvaise foi,NOUN,,
mauvaise grâce,NOUN,,
mauvaise humeur,NOUN,,
maux de tête,NOUN,,
mea culpa,NOUN,,
M elle,,,Melle
mécanique classique,NOUN,,
melting pot,NOUN,,
même quand,SCONJ,,
même si,SCONJ,,
mètres carrés,NOUN,,
mettre en doute,VERB,,
mettre en examen,VERB,,
mettre en exergue,VERB,,
mettre en forme,VERB,,
mettre en garde,VERB,,
mettre en lumière,VERB,,
mettre en œuvre,VERB,,
mettre en peine,VERB,,
mettre en question,VERB,,
mettre la table,VERB,,
mezza voce,ADV,,
middle class,NOUN,,
milk shake,NOUN,,
ministère public,NOUN,,
ministre de l'Intérieur,NOUN,,
ministre de l'intérieur,,,ministre de l'Intérieur
ministre de la guerre,NOUN,,
ministre de la justice,NOUN,,
ministre des affaires étrangères,,,Ministre des Affaires étrangères
ministre des Affaires étrangères,,,Ministre des Affaires étrangères
Ministre des Affaires étrangères,NOUN,,
ministère des affaires étrangères,,,ministère des Affaires étrangères
Ministère des Affaires étrangères,,,ministère des Affaires étrangères
ministère des Affaires étrangères,NOUN,,
ministre des finances,,,ministre des Finances
ministre des Finances,NOUN,,
minus habens,NOUN,,
mise en cause,NOUN,,
mise en oeuvre,,,mise en œuvre
mise en œuvre,NOUN,,
mise en ordre,NOUN,,
mise en place,NOUN,,
mise en question,NOUN,,
M lle,,,Melle
mode de vie,NOUN,,
modes de vie,NOUN,mode de vie,
modern style,NOUN,,
modern style,ADJ,,
modus operandi,NOUN,,
modus vivendi,NOUN,,
mon Dieu,EXCL,,
monde entier,NOUN,,
mot d’ordre,NOUN,,
mots d’ordre,NOUN,mot d’ordre,
motu proprio,ADV,,
Moyen Age,,,Moyen-Âge
moyen age,,,Moyen-Âge
Moyen Âge,,,Moyen-Âge
moyen âge,,,Moyen-Âge
moyen-âge,,,Moyen-Âge
Moyen-Âge,NOUN,,
moyen terme,NOUN,,
music hall,NOUN,,
mutatis mutandis,ADV,,
nécessité morale,NOUN,,
nécessités morales,NOUN,nécessité morale,
n'est ce pas,,,n'est-ce pas
n’est ce pas,,,n'est-ce pas
n'est-ce pas,ADV,,
n’est-ce pas,ADV,,
n'importe qui,PROindef,,
n'importe quoi,PROindef,,
n’empêche que,PREP,,
ne varietur,ADV,,
negro spiritual,NOUN,,
negro spirituals,NOUN,,
nerf de bœuf,NOUN,,
new wave,NOUN,,
night club,NOUN,,
nihil obstat,ADV,,
niveau de vie,NOUN,,
no man's land,NOUN,,
no man's land,NOUN,,
non content de,PREP,,
non plus que,PREP,,
non sans,PREP,,
